b6a1, 6138
878a, 2104
cf11, a716
b605, c4b6
ed95, 706e
1441, 5fdd
cb88, 0a34
e2a3, 3962
8055, cdd3
a824, 634e
99ee, 4734
c7bb, f7bb
d9b0, b357
7204, fe7e
6985, bfe2
3c48, 1544
fa68, 5cc3
c55e, 7bbf
5266, 40ba
e6ab, aa0e
cbb5, 1808
3d68, d4af
2bd9, 9f84
1104, 5508
befd, 0cf9
5c13, e6d2
4bf1, 96da
bfba, eaa6
25d3, b584
2e94, 29b3
dd7b, bb6a
44d9, 0c2f
c436, b53d
5127, 9787
fe9e, 1c51
ad25, 5f5c
10de, a643
a7a5, 6731
328b, 289b
91fb, ff19
9439, 5097
e37f, a0b5
96d5, 4a5f
ed9c, a10c
2c36, 7d70
cb37, 2599
24cd, b14b
300c, dffe
fd56, 42c8
e19f, d913
7a03, 8096
4dde, 53be
24ec, c898
109b, a85c
79c7, 72e4
34a3, eaae
8445, 7168
5bbe, 9d2a
ce4a, 41f1
57a1, 61b6
e942, 3924
9b8d, ad43
57bf, f8a8
67a0, 25a9
fad3, ea9c
b497, c8e4
7420, 3ace
3f48, 4f02
f929, 6090
9487, 4abe
192b, 9cdb
2398, b837
d784, 42e6
ef88, a5f5
57b0, 5df7
e10b, 2aab
d4e2, 4338
bcfd, ff53
4039, f233
248e, 3150
7a7a, 4679
d2e7, a0bd
03e4, 743e
05cf, e094
2454, 08bc
0b6f, 2c7c
4cda, 1c34
4eff, 900f
bd2c, 7ec4
623b, 657a
a310, d42f
705b, 9bcb
a3b2, 0a70
234e, 5ea3
80ec, 1336
edb7, 5031
fb9c, ff02
8b02, 5c3d
35ea, 772c
667f, 7938
a0b9, f96f
3087, eb88
f16c, 71d8
c3e9, 8144
d2e0, 2713
f393, a570
8da5, 8da2
dc3c, fd06
e008, 3b07
f3b2, 6963
cc0f, e130
9b05, 090b
ba00, 094c
4a33, 807b
9f2b, 0eda
4600, 4200
f234, bfef
a1b7, 450d
235f, 598a
8120, b1bd
ec5e, db11
e685, 4172
1868, 5389
799b, 9770
afb6, 7373
60db, f48d
20e2, e2c6
b5cb, b128
29d1, 5b4c
b65d, c4da
29d9, bd75
d69c, 9f15
5ff9, 0332
0404, 146e
336a, 3e86
3115, d20b
2bae, f743
9e7e, c36e
6245, 6bed
5b47, 6b48
0af4, 2721
8cbd, c1c7
4042, f270
5694, 1ae8
360d, d66d
ac34, 4a86
af7e, 4811
743b, fd10
17c6, c4d0
20c0, 2845
edfa, 47a6
b990, c3af
fd28, 52fd
7691, a446
64ba, db02
dff0, 51cb
55d8, 72d8
fb6b, cb11
8c7d, 5af7
54f0, 10c4
a0d7, b5ca
9df6, 518d
9a40, 7cf1
d93f, 635d
e985, 26fd
0219, d0db
58a1, f342
8ef3, c4a7
0d76, 8652
0dd9, 781d
444d, 44ad
617f, 9370
5af1, 3edc
c246, 648b
c7ec, aa68
7480, eaff
2c14, 5cef
c7e1, 09fe
1e57, 8050
8a98, 3241
b970, 75f4
59bc, 22e4
6d68, 736f
3665, d5b0
8dc5, 138e
9c20, fe9a
124d, bd27
b9e9, 15d6
ea08, 14db
5574, 180c
1b76, 73cf
68b0, d8bb
5563, 090d
69aa, 5862
2421, 5fd6
6867, 8838
0255, 4af7
6a03, de9f
a78d, e410
d900, 80f9
5a12, eee4
bae8, 5168
334b, 1643
5920, d7b4
c3cb, 586b
7012, 19aa
a3e7, e1db
a8fb, 489b
839f, be55
9b82, 9213
01cf, bd45
6e18, 3612
3877, e778
3d64, 4084
85c0, b9c4
34ed, 6e29
cce6, 1b1a
e99a, 4e80
8db5, 63e7
9b7f, bf71
7116, d6cb
fa26, 3353
c7d0, 0de3
73f1, fbf0
1ce8, aa3f
e7ee, d7ee
decb, 907c
42b1, 2e0d
38fc, 735c
6cbd, b235
796d, 7881
4671, 060b
f75d, b183
b7fb, fb03
d57e, 5165
f5e5, 11b7
4bc4, 3a1a
f25d, 9eea
3f09, e3c7
0220, 6ec5
b461, 3d15
a013, d8b1
8ffe, ca50
5709, 0401
cfec, 7d1e
0873, 1356
018e, 7e00
19b6, 9f3a
5235, d63d
bc33, 93a6
4769, ca30
ca7b, 1190
1815, 7960
d8ac, 65b3
c70b, 51f0
4b80, ab7b
8747, 586a
f100, 7d44
54e7, df30
5b1d, fb68
7e4d, 4b2f
dd4b, 4b04
7f20, ca47
06c5, fcec
52c4, e318
1a91, 9f30
8432, 0dfb
42f4, a61a
baad, c166
0508, bd92
2bc7, 6c31
e5f1, e5e3
ea94, b104
142b, 93b1
f7f3, 24ca
32b1, aa44
1238, b977
66bd, 1ce7
4b6e, 02df
1515, 32ad
01d3, 15c6
f813, 994e
af43, d7e1
3576, 3542
0610, fdbb
9bc8, b198
f265, 1e76
7abb, 1c7a
9ed0, 4c78
5d40, 2dab
c2ef, 2b84
aaab, 4c1b
b2f0, 8b87
e722, 3855
1163, 5ac6
a554, d3cb
de1a, 1103
bd8c, 1eaf
9d93, 9bd2
0f14, 38ba
b571, c55c
9a88, 5fdf
b577, 4e61
c97b, 197b
f718, 7017
a0d2, 9d06
0e14, 3bf9
4fe8, 4134
066a, 3933
e545, 35a2
015e, babe
5bc1, 00a4
50ab, bd72
c83e, f8e3
165d, 350b
7c1d, 0dc1
dcb7, aa6b
c747, d803
9605, 9b22
42ed, a539
8e42, 31b4
8bb5, edd9
9bfe, 8b3d
adb6, b89d
52ce, 6075
e1e0, 9cf9
0d11, d3ab
6b03, 2141
095d, a9ca
5f35, dd51
9bc1, 21e0
41a0, e6a0
5401, b1c3
d1a7, 6023
47ad, 721c
0ce5, 29d8
f7ad, ff16
00c1, dec9
aa88, 3dd4
e00a, 4847
796f, 992c
6215, 4278
26d9, e05e
7124, 8f62
58c9, e9cf
cc85, e33f
aa7b, 1490
0819, 3e87
548e, 2971
86df, 0022
8d90, 949b
4538, 940e
d73a, c063
653c, 7182
b652, f32b
997d, 977d
17d4, 8921
9503, 29db
5cbb, b9f4
691d, a3f1
5177, b3ab
c5e5, ea20
45fc, a1ff
c8f6, cacc
5317, 01ad
5e4e, be16
bd7c, 89e1
1f57, 7e10
e818, 56d0
cff0, 199b
511e, 67fb
b2ed, f358
55d3, fe95
c2df, 8ad6
f9e6, 5ccc
f9ea, 3f60
54a9, edb2
cfb9, 71ef
026c, 257d
075c, 9d98
3fbd, c3c5
676c, b269
f612, ed35
c4db, 2507
089a, 24fd
4e59, ac3d
4467, 6746
b532, a16d
1e4e, 754c
05d0, fd8f
eb29, fead
4634, 5d51
f7be, 72ea
7f1c, 695e
70de, b155
0fb2, 5b2f
c14e, c584
9061, 0229
548e, 2971
b072, b197
183d, 8745
f4ba, 4eb2
e227, e258
2939, 7052
fcf4, 6dda
aa5b, 31d7
60bf, e237
2604, f494
4309, f8d5
48b1, 7c55
ff4f, 7401
778f, bed5
340c, f53e
3acb, bc9d
d1cf, 64f4
7174, 3732
f972, 2972
9a04, dd19
b416, fa3a
d240, 175a
c33c, bbf1
aa47, 3160
2e3a, 3d53
d14a, cab2
0fac, 3a11
af8d, 4cac
c05d, 895c
dbbd, 2d0a
1a12, 4145
3c65, e498
bee2, 119f
eaae, 34a3
1322, 6aee
3af7, 16f3
6191, 3f2a
c91f, c6a4
6c89, 598b
3a96, 701a
71ae, 3a38
9f57, 662a
69d0, 4f7a
4df2, 5c87
d940, fa72
e49d, 84bf
869b, 26be
4663, e8e0
87a8, 54f3
9b93, f60b
f209, f7e9
edbb, dd69
44bb, 5ebd
7447, 7aa8
1523, 46c7
3396, 41bc
b35e, e86b
2c35, 5def
1fa8, 5fff
2c47, 303b
1a42, accb
5e49, 234f
e42d, 0e0e
cc64, ab5e
cdb7, 9508
8eac, 5aca
af07, fcd9
d9e8, 2916
1527, c558
2fa1, 511c
d898, 9e97
7d56, 1128
4177, 0b55
563a, 0b2f
8a7b, be88
ce81, 9305
ce0c, 55f2
d5cd, 3c98
51e3, f6a3
34b5, 1712
7bf0, 3ed9
f049, 61ff
a773, a44a
88fb, b785
0e61, 67d1
c243, 3217
9284, 65ec
42e4, 680c
e47f, def9
daf6, 5040
0d0e, 0996
3595, 3295
a07c, 3e35
2f62, 3103
2db5, 6c82
2435, 9d65
26ca, dbf7
0756, 4e23
20d8, 763d
f64d, 73b1
417b, cd80
c3fc, 6686
0a07, cd20
1584, 30d3
c0d6, ae81
d8de, bac1
e8ba, ff50
8104, d42a
e547, de74
ad47, d400
2837, d164
5136, 91ff
344e, 28ff
3b30, f930
bb46, 89c6
5564, 7ffc
6d83, 9204
fdac, 05b0
355a, a164
e3c1, 631a
d863, ecb7
3faf, e639
ff37, 29ab
86b5, 3e62
14e0, f8c1
0f0f, b147
49d7, 93cd
65dd, 1a5a
bfa1, 0271
1723, 048e
45e5, f34f
5153, f065
3d4b, 038c
7415, 7ca5
8a84, a20d
6770, b272
e8e2, a526
8ad9, 7372
0860, 24d6
3fc1, 0f30
866d, 2a79
922e, b72d
167d, fe2b
67e2, a8c5
cd31, a721
ac18, 1a1d
92ed, 9e9f
27ce, 57ce
065d, 083f
645b, 9ac8
2cab, 5647
3f4d, c66d
181b, fa29
4b00, 4000
f231, 9ddc
b574, 3cf5
39ce, db85
b750, ae15
eed9, 0554
24ba, d39c
a117, 097c
5b1a, b5b0
214c, 7dfa
a65d, 015c
6270, d58b
8832, 78e4
2b4f, d8ed
4c2a, eef1
54b9, 7d93
2ec3, 2a64
df4b, b470
197d, c7f6
7064, f9b0
6e95, b76e
4ad3, 2c4d
e04d, 2ff2
15d9, 6505
0716, ba7f
9a59, 85db
95ca, e20a
1057, fd7c
cb33, cebd
a508, ff0a
37ed, d25a
ba31, 7597
0099, 5d49
bcac, 04a0
3263, 783f
e27a, 55c8
0902, 2722
94cf, 9ef1
55dd, b5a9
f933, 94db
ab19, 960d
e494, 01f6
59b1, 5539
5d88, a728
dffd, c6a3
b7a1, 9270
48a8, 6dd6
3f84, 9012
3b9a, 4b1e
0aa5, bdae
c18a, 514a
6f98, 2117
fb82, 7574
164b, 7314
03cd, 5343
41d1, 443a
cf95, 1992
c1f5, 4b17
4f3c, 954e
96ab, d3d3
f523, d91d
e107, cd7d
665a, 0fe2
3eda, 1967
c8ba, 1b0b
4f3a, 05c6
7160, 7df8
5e60, 6de3
33b2, 24f5
03f9, f170
6952, 6f22
914a, a64d
6ec0, 695a
5f35, dd51
60d2, 2815
c20a, 4057
72be, 8e25
7914, 38d2
93f6, 55f4
e53c, 31a1
63ee, 0284
3178, 4d16
7249, e2de
5c2b, 9228
23c2, 9319
fb98, 5ce1
1f46, d1a5
e77b, 3870
2481, 1375
2cae, bbd8
d3a7, 9a03
b625, 9ad5
a1bb, 87d7
a9fe, f456
32c4, 5af3
78b2, e339
da30, 6c73
eafb, eae9
1760, 3cf6
27b7, 0a3f
1ea7, 0cca
2671, 9e24
ee19, 8a7d
44c4, bfb7
cace, aa16
4192, 4205
e6bc, f366
a04f, 796b
4a4d, 189c
adaf, 46f3
b8a3, 571d
7036, 2693
26a5, 1ebe
8096, 7a03
216f, 312a
1b67, 71f3
de74, e547
60be, 3f23
70fe, 46e4
3c52, 693a
7c0f, 4328
5370, 4061
93eb, d012
3e7c, e00f
cb93, daa1
e11c, da79
8f7c, f405
0169, adf4
b89c, 7858
de12, 01d1
4fc6, 60a1
94d6, 7376
f4b5, fc79
cb0f, 4b13
a6e7, 463a
00b5, 17cf
efa8, 9d44
188f, b385
0bb7, 8531
2926, da94
bcd9, bafb
133d, 6853
11a5, 8a24
68ee, f489
fd71, 4e45
5cc6, e520
0bed, ecc5
17be, c2ec
09ae, 1816
cb4d, db4e
9ef3, a900
6f6f, 82bd
a098, f3af
d9f1, abcb
974a, 0722
fd65, 1556
ac20, 2656
925f, 07ca
1fd9, 39d0
4196, 1161
9bc8, b198
8871, 0a5a
2b80, 8088
46b1, 38fa
2ede, 50ca
bef8, 39ba
85fd, fe73
0d72, 00f1
aff0, affb
3d22, 2b6f
8354, 3e16
30fe, eec0
d7da, 130d
2160, 216b
59a7, 42f1
f2b0, dde7
c233, 4db3
7ce0, e18e
f540, 0b44
34b8, 4033
c1af, b7f1
e2b3, ad68
3b76, 4e3f
7df0, a23d
ee63, a817
205c, 10f1
22a9, 7954
3a0e, a54a
b689, 8175
2b5d, 4f77
64c9, eaca
b713, da21
fda1, 2adf
44e4, aaea
c5e1, d5bd
ce52, d4e3
aff7, c030
2c37, 64bf
1203, b38e
babd, 3ca2
8f90, c707
2234, 6d34
211d, 69f5
96f2, bc6e
4087, a077
3d7a, a54b
70ba, c95a
7de0, 843f
3acc, 2997
6298, d2f7
8578, 2e63
c890, 17f0
ead0, 597f
a312, b76b
5eb8, 8847
8176, 749e
d348, 6437
1acc, 31a9
ace5, 50e8
880b, af74
ea54, 7a97
3be3, 9a14
e5eb, ffaf
b937, 040c
24e2, 7ebf
133d, 6853
cd9e, f408
51a0, 74dc
ce15, f1f7
6f2e, 32e7
1973, 9173
953a, 4b76
d9dc, 6a57
f986, e686
6ee9, 257a
4423, cbe7
3f99, bb8e
d825, 6752
67e0, 8ca0
cc20, 93c1
f327, 682f
3c2b, 0ab3
789a, 356c
e0e1, 830f
2e47, 6315
f8cf, cdc9
4ed6, b531
1798, 5915
a908, 0dcf
6be3, cdd2
9ba4, ac9f
1315, fb34
8860, d9cc
fd9e, 7339
20f5, 0b87
ed5a, d716
3f65, b5e2
2be1, a58c
3ec3, dd1d
15be, 446c
47d4, f5a2
e089, 3b79
5e09, ca5a
5bf5, 8100
3ae2, 83fa
4ec5, e470
b9c7, 07be
10e0, 7a67
4e95, c16f
2636, 524b
76a5, 7e15
ef2f, 3f5f
584c, 6502
ee8d, 75d6
d8c5, 283d
79f2, 087b
afa3, 1862
c04f, 9ef4
3b98, 3097
832d, 30fd
1811, c6b4
0a59, faf9
3d61, 50d0
2b64, 08a5
583a, ba3c
a28c, e542
c0a5, cf26
f0cc, 4f56
7d33, c3e5
2e82, 3867
e5f4, 0201
0e17, 25ff
06ac, c7b9
4520, b950
d063, bbb4
4588, 4026
c251, 4b10
2ec6, 67b3
9eec, cd26
baa8, 8377
f066, c85d
a101, b131
1fb5, fea6
d256, ca2e
5f1b, 3a9a
16d3, a909
05a0, f724
59b2, 6e32
545e, 28a3
63cb, 90e0
3ecf, c1c2
92d6, fa4f
f2c4, a192
ed45, 77fa
2b63, 6f12
8278, 54ea
84eb, 32db
f367, da98
1113, e903
5d13, f44e
baa5, be96
2627, 0663
1322, 6aee
33be, 80a7
a12d, 34b1
c63d, b6c2
7503, 5ba5
4f9a, 904c
7b4c, 5205
bdab, d681
3cb3, 78fb
ddba, 1183
4a16, aacd
e113, e7a4
d399, 1865
54c8, dfb9
493b, 38c6
d94f, 8039
dc2d, 48dd
d2ab, e040
6144, e48e
fbfa, 0cba
6b8d, be8d
a00a, 34ea
28d1, 6729
5037, fb8a
e8da, 3a6d
a611, c482
33d4, c141
e04c, c400
a5fe, 4c32
c0cf, 2e0a
43d4, 9fb6
244b, cc23
0bcd, 4ed9
e4f8, 5b00
90e4, ad8e
ac95, 87da
6119, 7f78
8937, ddd5
4a2e, a227
bd30, a3d6
d194, c28f
6124, fec8
09f1, 14e3
356a, e0cc
e953, 6a19
a576, 38a8
626c, acba
3ac0, 4faf
27fa, 47ea
78e3, e847
2e0e, 02fe
94c9, e5c2
966a, e0d7
401f, a78e
de7f, f9d6
a51d, e52b
b803, b05b
770c, f9b8
d571, 5019
11c9, 87b5
d4d1, 5a29
71ed, e03c
facb, 68f0
8665, 7167
7881, 796d
376c, 1498
4dba, e096
bd30, a3d6
09c8, 85c1
66d3, 4c3b
5a63, 5437
57c7, 2651
59ba, d2b8
22d5, 7e5e
00e4, b0e4
af40, 4ef7
9433, 47ab
8ad2, f6ae
4cdc, aa34
53f2, 0056
46b2, d419
6f6c, 7912
edad, eda6
ef85, 918b
08de, 88f4
a06d, 2c09
faad, 2e41
bb8e, 3f99
bf76, abb1
d954, 4781
9dd7, 8e37
7529, 33c3
085d, b97c
404c, d395
1e30, 0605
c516, 67bd
4909, bfe9
6255, 266d
9ea3, 4c31
acff, 2d6a
11d8, c643
1f84, 71b3
416f, 1d8c
c154, f56b
e827, e828
9b40, 505f
5ad7, e1ca
b24b, c26c
1da4, fedb
0d7d, 8eb6
50af, 89c2
ed7f, ecb9
1ad7, f28e
48fb, 48f0
4281, ab50
c2c3, 4003
f7e9, f209
d734, 8d40
90f6, 47b1
5709, 0401
9564, 4e71
4866, 6300
e07c, 66d2
a9cf, e013
4c85, ed72
ac4e, ee0c
eef2, e1b0
e94a, df54
cfb1, 1769
35d6, 325d
fcfd, 9a9e
8ac7, 9496
732c, b307
ea55, ae78
0b83, 765a
9786, 608a
7dc2, d251
afe6, 08e0
601a, 4961
bd93, f17d
0b6b, 45d7
23a7, 0975
0bb3, 4ca9
4acf, cfe0
9d84, 6fe9
e5d1, 24e7
ccd1, 3e4d
c238, 292c
05b4, 24f7
c479, be4b
bbb4, d063
a925, fed8
9e09, e390
ab4d, 0f43
40f5, 73ce
9374, ea6e
39a9, 3ded
af2b, 71e3
6347, 8a21
dc46, 19c2
fc50, 071c
a5d2, 553c
370b, 38b0
3799, aebc
9abe, 6913
bb02, 1f45
316f, 6098
3552, e552
fd8d, 0bc2
2a0e, 6015
ba7a, 3ab4
a3a5, b7c6
ba77, 8338
49ca, d1aa
20ee, 820a
8bee, 0b3a
90ef, f6c2
ce28, 1460
8cad, c410
6404, 552a
76a1, aa8c
43d4, 9fb6
2be2, 749f
d744, cb51
77c8, b9f0
04ed, 0cd6
0cb9, 00c8
a793, cbc8
168f, 64bb
8ca0, 67e0
7a55, f30e
8528, 7e3f
ad77, e1a8
9030, c7cc
9ad9, fac2
8c86, 2c4e
aeae, faac
e269, 5513
cacb, 4a42
227a, 3c80
a125, ff11
1084, b0dc
48bb, a7b0
fbab, 1b4b
7fef, 5588
0a33, 216d
cb07, 7000
33c3, 7529
e5d7, 32aa
ba59, 302b
8ef0, d296
6ad4, f5b3
2d4a, 144b
b8d3, 0ece
5da8, 2349
8714, 62aa
5c76, e369
14d8, 4f5e
be80, 907a
f0cb, 964a
a6ee, 335d
3e49, 26c4
cb28, 8f5f
8bda, 6c23
c3d6, 1db2
1c0b, 25e4
4eb7, 4c63
d7be, aeb5
2ae6, c9b2
5664, f5eb
f1c5, 9410
29a5, 6812
8129, 0d1f
92ce, 8c9e
bc65, 793a
1c5a, 2921
9d14, 1e17
f275, f6f9
04ef, c4c5
d678, 4dca
d501, 40ac
26a0, 6e82
5735, 6f67
68ab, 8852
72a3, 163f
b535, 97fe
3ba0, b841
edbb, dd69
9955, 23e0
8219, 94fb
54ec, 4326
1c3b, 4f14
40fc, d521
4836, 6062
6dff, d713
daff, 968b
9da0, ec58
956a, c943
2c4c, cc7c
6e4e, 9641
1a35, 3113
ca61, c43a
8339, 7fca
2d63, c0d9
4404, 4d37
ad0d, 92e8
3e33, e33e
8501, 2405
85ec, c50f
9cb6, c191
86c2, 5b9c
7415, 7ca5
8fbc, 25df
a8b8, 4808
3c3e, 89b9
3227, 3228
11ac, 0cec
2075, ead3
8115, 1c70
3503, 1430
c9ce, 471d
e01a, d3fd
c462, f426
4c72, cb7d
d2bd, 56b5
eb09, 102e
cd84, 0257
befe, 313b
68ee, f489
a902, daba
881c, af6f
c16e, 491b
d329, 864d
6cca, 922b
05ad, d585
71bb, 69c1
ec97, 57cc
7c3a, 94e1
d643, 533f
d2cb, d2c0
16b0, 375e
c3ad, d919
9d8a, 1bfd
9040, 6081
5242, b899
19f6, 7e82
ad0f, a8d2
ecb1, ea90
d7b8, 0ae1
c829, c82f
fb00, 6306
b28b, 5fd1
0b60, 0651
6ff9, d1af
0b84, c056
32a3, f845
c0e9, 3ad2
b8fa, 9a6d
a84a, b056
d7aa, 6c09
72cd, c032
99bf, 44ee
83af, c235
8f28, 1050
d94b, 64da
56d4, f694
76fe, 8abe
2067, a12e
df8c, 7f79
7486, b6fd
1cfb, cdc4
0b7b, 0f5f
a369, 5340
c03f, 1934
40a0, 7340
fb02, 2e9b
dbc3, 51f5
eae0, 7eea
3f0e, 579f
33b8, 860c
af8f, 48f4
de2a, 059d
9bea, 328d
1105, 5adc
1ba2, dc9f
83b4, 3f71
419e, 119e
d330, 0054
46c7, 1523
2d6a, acff
5338, cd98
9f4b, 8ef7
2b79, 3b4c
b84e, 0b33
44f3, 2512
48e7, a5f4
1700, f8cc
0c69, bec8
f65e, 9cbf
b8df, bd8b
60db, f48d
0354, ce87
0097, 9872
3c4e, 314b
ebf0, ebfb
d61f, a1ab
d55e, 40bd
c2dd, c67b
56d1, 8aee
c895, 1792
1324, 72d5
eed9, 0554
6f6c, 7912
2d0c, a399
cbab, 5d0c
9257, 4a93
2974, b308
1af0, 6bef
5055, 69e5
20b3, 08e2
ac89, 9c12
9839, 815d
ecfe, a8ec
7dbe, c5bb
bb6a, dd7b
d155, ad00
d4a0, 59ca
efe4, ebfa
bf74, 2cf3
92e2, b8b3
c1e6, 70ee
43e8, 3dba
f869, ccb7
b672, 88c0
aefc, bcec
ea80, 16d9
e2c2, d010
136a, 1561
4afd, e9a3
3904, 2ab7
1b44, 649a
15b9, 7531
a4af, ddd0
dec7, 6e10
deb9, c6ee
d48b, 5c62
fc80, b158
1698, 0e0c
459a, 2caf
69a8, 1583
03db, 3dbd
9e66, 0ad6
fb88, 5f9c
6e78, b26a
79ed, e430
432a, f641
c362, 8cbf
e63d, 8ed1
06e4, 1d35
acf1, 78eb
b386, 02f6
3f6f, 6844
650a, 464c
6e5f, 1e78
00e8, f50a
d69b, 0402
f712, 4227
d38b, a464
fed1, 3f37
ce2b, 4c58
8c4d, 7c46
b29b, 0070
d6a3, 14ec
b9dc, b7fe
c9ad, 171d
371c, 1960
2338, 7576
381f, a2a2
e30b, 1fd5
d156, 3f80
0b35, ad6d
b922, b92b
4c0f, a5ae
b4da, 710e
deb3, 4523
4eaa, 4d11
bda4, 713f
239a, 88c9
a761, c566
b504, 6335
1729, c72f
35ef, a7c9
6f6d, bfc3
362e, e9fa
0ef2, e360
add9, 3e4b
26ef, 9da3
910d, 4ea0
532c, 5f5e
1cb5, d573
28fa, f821
c4c5, 04ef
694f, bf04
634b, f9b2
6041, b90d
5be9, b0d5
e12b, ff34
9593, 865e
21bf, 69bc
26b7, 8cc9
a0c9, 26d7
ef61, d9c8
bf44, 0c4a
6d53, 420b
2e09, 820c
db61, 9e7b
4ded, 3f2c
1ce7, 66bd
821f, 832f
25e3, d485
7660, 76dc
76f8, 078e
c51b, 7ed5
acb2, a359
915a, f365
d772, 9f43
ab20, c598
2bfd, c020
99fa, 5a02
a893, 8ac8
5423, 3507
ef37, 191f
878c, 6dd0
d3a3, 6dd2
557d, 3cae
464c, 650a
08a1, f86b
0b7e, 9283
3dd6, 480e
fab6, a058
324e, 09b6
c659, 64a1
2bab, 0672
c50f, 85ec
2fc5, a607
3002, 4568
fbd6, 620d
8c37, 4fe7
0dd0, b21e
22de, c15f
511b, b087
e555, e225
3bfb, eb9b
6cfd, 451b
5bea, 6c05
3673, d4a7
8234, 8243
2963, 66c7
2eb1, 1854
c4ce, 5970
abce, d78f
3591, b0af
bed2, 91eb
d3d5, 3763
39c9, bf97
73e2, 10bb
353b, b2d9
1ea4, 1ecc
8c89, 5a24
eb63, 33ac
57db, 1387
61a6, 2c72
74c7, b965
e992, 3992
4de6, e703
cedc, 5a59
c700, 8f7f
2574, 877f
6a97, 43c2
d58f, 6589
6b73, dd0d
0890, fadc
3ef2, 2c0d
230b, 6ad0
6d8e, ca66
e945, 67a9
8058, 155c
958f, e444
1813, 8ff6
8227, 0c18
78d4, b0a5
922b, 6cca
c746, a961
14ba, 6791
1b59, 66d8
211d, 69f5
4519, 1d6f
e32d, 99d5
dbba, 197c
8be7, 2307
271a, 2753
5f8e, fc09
a52b, b62b
d717, d26e
9818, ed03
1a27, 64de
4463, 9554
6d37, 97f7
4dc9, 2b23
b44d, 7949
a851, 0564
dfa6, 9c9f
61d5, b124
bf9d, 46a3
3c46, 482b
226a, 632f
47e9, afa0
4d07, 222b
5953, 5afc
62ed, d9fa
8614, fb3b
de93, d10c
6000, 1fce
90a4, 6b0f
1310, 9fa8
9eb6, 021e
2512, 44f3
5bf6, e5b4
4bbe, a0e0
392d, 45eb
2f36, b9ee
58d6, a4d1
30a5, 1089
d8b0, 680b
0b50, 1cd1
4787, a777
45a4, a37e
8b80, 0528
3647, 296a
fc29, e4fd
22c4, 5400
425d, cb1e
5636, e102
9fb6, 43d4
379e, b79e
ded5, c652
2f4c, 80eb
6d18, 3bec
d486, cfa1
46a5, b756
c474, 3326
5ef8, 751f
c65a, 4131
db2a, c5d2
fac3, 5ea9
e531, 79bd
eaff, 7480
122b, a2bd
49dc, 4a90
dd31, 44ef
aca5, ab93
9add, f7b6
99e5, 9df1
9783, 72ab
b825, ab95
0e35, b8f4
f007, a1a9
8364, ceab
93b9, 451c
4e07, 0810
1d2a, ab9e
4408, f3b6
6117, 9f8a
5b1c, afbb
ef4b, b472
5775, 1830
114c, 1eeb
1e42, 4aa8
4a15, ab96
8793, 8cba
06fd, 2400
277d, 337d
227c, 97bc
25eb, 45c1
ec8a, b3bd
d3b6, cbfe
bae5, 0a32
e13f, 1a15
8c1f, 9348
5ae0, 66fb
69c4, 3826
eaac, 4698
d6f1, eb5f
237e, c50d
7f82, 982f
8d40, d734
1b8f, cdfa
d01e, 0c40
f0b0, 1796
7023, e45d
5fc7, b7ec
cc98, 3ac5
4fb6, 455a
8fd9, 0242
3050, 80f6
2035, 1c69
3f8e, ad10
e9bc, e271
ee2f, f19d
7149, a2c2
42a3, c6fc
40c1, c453
ae6f, 09bb
e5b8, 82ca
6f0c, 2c0f
3a50, bb62
b59b, ce33
59db, c2e4
3017, dfa0
248f, 3c6c
0610, fdbb
bb3a, 50d1
e9a4, 6fc0
453f, 4201
f430, 20be
9a7d, f173
3134, fc21
f480, 5fd2
4242, 2e49
5f65, e647
680e, a305
782c, e94c
fee5, 0e83
e9d1, 507f
19f1, 37db
273e, b8d6
0579, 5e47
eeed, e259
5051, 0abf
d6d2, 2e07
6b2e, 2575
5926, 6e4b
87d3, b274
d238, 8e9c
9012, 3f84
bf6c, 5747
68e0, 1d20
9def, cdbe
7bfc, 0ab8
1f9d, 1076
05d0, fd8f
6fce, 2efc
7b7f, d5f1
3c3a, 649d
2876, 069b
36bc, 4491
9565, 04f4
45a6, b765
a550, 35df
e533, e2e0
e682, 7a6e
0bc1, e75f
23b0, cc66
5d9c, 4923
cfd2, 4706
91ad, 53ca
53c8, 5ec8
2b36, 1a0d
a36c, a83b
15b1, 51b9
de19, 5ba4
4544, fdbf
dde6, 598d
4044, a327
22b2, 5813
77e9, 9938
e015, 3392
523a, d0cf
059d, de2a
c236, ffba
e4f0, 58bc
d6f0, 119b
1e71, a2fd
07dc, b3ac
8887, 8220
6642, 4f9c
f3c7, 3b37
efa8, 9d44
0ea7, 8532
9146, 2314
9080, d5c7
68fc, e0a0
c03b, d75d
8c6a, 5cf2
fc80, b158
cf90, c990
8dad, 35f6
a19f, 0c62
3579, 5da1
ba08, be8b
b1c6, 5eda
742b, ef52
da72, 6389
4dc0, d5e4
a922, 21fc
4d43, f3cd
b388, c3eb
dbd4, 2940
6b64, 5ce4
299c, 20f3
dd40, a442
4f9c, 6642
eb2c, 1502
5fb4, 16ed
9bf6, 41ba
1f85, 1972
6049, 8c72
8e69, 65e4
ad95, 2c78
3e37, cd35
3013, 91f2
c088, 834f
08ef, f96c
dbed, 447a
97f1, 9b59
9f92, 0577
4869, 1622
ec4e, 6cf7
3827, e728
0bf1, 1844
afb2, b452
de9a, 1176
c0fd, 5848
4802, d302
b310, 5e15
0074, ca29
8e20, ee5b
01e0, 556a
45e9, 9ec4
