110f, 2d54
dcf3, e671
0d76, fc0a
c748, 40d2
7195, 7a9b
e344, f485
a340, fba3
a966, ff0d
59ce, e9ce
880d, 0776
fd19, 0612
30cd, 268c
c689, 9623
4f8b, 1975
6ee2, b6fc
4202, 2b3c
c04c, 04df
be4a, 0dac
6206, dd98
805e, 619a
13fb, 3737
3234, 4323
c1d1, cfe7
c725, 3c13
4ed1, f17f
88b1, d06c
7df9, 6a0a
7315, 3517
f65e, 167f
9854, 0912
cadb, 1268
3778, 333e
4877, c783
5f65, 34d2
2c47, 3847
b91c, 8683
5c55, 7c75
a94f, faaf
7e66, 7ebb
34b0, 826d
8ea0, 5661
7838, 5271
ffeb, 29a0
e173, eef4
d323, 6a92
968d, e0d1
82cb, 13d8
570e, 470e
e556, eff1
5325, 5c1c
4964, e1a0
9ebf, 9e6a
b20e, 69ca
fd7e, 1fc1
c664, 8658
9501, 9dd3
60a2, e3f0
6996, 6991
e3d6, bfca
1482, ba03
e535, acbb
bceb, 54e5
f84c, 5933
0368, 6037
3a60, 2f6b
97fa, 2bf3
d5ac, eb41
047c, 18ed
2f8b, b975
087f, 687a
99b1, 291b
99f7, 0caf
d3c1, 0d97
d66d, e195
f095, edf4
c4c8, b9d0
2de9, a7e9
c71e, 371e
313e, c1ce
89d7, d3e9
00e4, 2a2d
5a15, 24c3
1c46, aaae
f5ad, a6a2
1723, 68f3
d703, b8de
f592, f7b5
1fe7, c161
0634, 9c0f
ccfa, 8b5e
759f, a946
2f1d, b536
3dd4, 3b09
aab9, 1520
2ef9, 919b
3756, 283d
eb00, 3252
63f5, 5dbc
648d, e5c9
bedc, 0750
ce95, 6eff
050f, aa01
29cb, f37f
a5d4, c400
d26e, 3566
2511, 1140
4eb5, ab5d
3d56, 0f97
df55, 6920
e951, ecea
71d4, 0aab
90bb, 8754
5ce6, 216e
ab50, 5651
6325, bffe
5e88, 7e82
8c3b, fe12
1d03, 2a78
43b5, ab56
fd54, bd50
f347, 7d91
3574, 646c
9da2, b492
4b46, 5fff
0682, 510f
ec4e, 11bd
9904, 9e79
e91d, aad8
8072, c68e
8740, 29e9
cfab, 1ae4
dae5, b2c0
9ba5, 5b4f
bae1, 5c31
1897, c8fc
278c, 252c
64ce, 1ae6
6fa6, 384d
0523, cfee
d579, e288
0991, 7f30
f54a, 2e7e
5c86, 5ee2
b309, 8420
48bc, c492
17c4, 7784
7ca5, 48b7
effb, d790
0ca2, 8f5f
2c9e, db00
f252, 39e3
47fa, 3bf3
33bb, 6a8f
2047, 1340
ba9a, cbd1
439a, 50b1
3c22, 4249
ce5c, 6421
0724, 8054
5604, 8e60
d26f, c969
aad3, 4403
63dd, 6a44
2a19, 3f19
26b5, 2f0c
c08a, 4e11
f179, 93b7
66f8, b7fd
79b5, 3a86
965c, 4e7b
8ba7, 4e30
4ba8, 8e3b
5741, 482d
4870, 4f9b
f63f, 59f7
d384, 26b7
d43f, 66a7
6a00, 7a71
4eee, 4555
14cb, bfec
df78, 6acc
0a0d, c9c7
7b8c, b530
6573, 1f74
1275, eecc
2a7a, 78d3
56dd, 233e
8743, b24d
d83e, e22e
205d, 2740
957a, 3b2d
11bb, dc70
3c28, f2fa
b5ef, cc7c
4313, 7e70
d963, 8f8e
241a, 77de
9f57, 7780
1c8f, 81cf
8bb6, 0067
f793, 282e
3173, 36fc
9675, 2c3d
4d8e, f075
1023, cbfa
f1f1, 2db4
6ca9, bb32
6b7e, a894
913c, 2c40
30b3, 074a
982c, 022c
da7d, ff2b
ff74, ef94
f63c, fd28
8f17, 4021
1536, 6aa7
f823, 3e6e
5508, e3b1
fac6, 841e
4773, c77c
157a, a032
a31c, 1b84
8949, 9f40
01a8, 67ac
2a65, 30d9
fae8, 91d7
84c7, 5c0e
0d41, 034a
0e2e, e9a6
44bd, f900
e3a1, d61c
35ce, 553e
3448, 5230
a645, f2a6
fd21, 5bb4
7355, 7377
331a, dda1
da94, aa20
e464, 1b08
bac7, 938e
8c50, 81ed
67f7, 8d51
d86d, 355e
8519, 0302
c21e, 027a
bb62, dd63
5fa4, 285d
e20d, 767f
9280, 943e
e777, eddd
85cd, 7e6c
18f6, af7d
6a9f, 8923
bd15, 961f
b749, 0be5
02dd, 6fdc
da6c, 801b
e33d, ea27
dfdc, 0e0d
44b9, a851
bffd, 1936
ea83, a725
122f, 55cf
15fc, 4854
2ebe, ee62
6ad0, a259
e4ba, 1dbc
9abd, 965b
9e21, 3457
01a1, 1d0f
81a8, 1cf8
8b1b, b0c7
a8a8, 0031
46cd, d6aa
f1c0, f4ab
4b1c, 2c76
905a, ab3f
dc39, 0464
2c37, b4e8
59c1, 8d6e
75c3, d274
e641, 8480
0558, 195b
33f5, 445f
f43e, 957b
71bf, 19eb
4008, e074
9420, 01f0
3e4a, 91fb
4cae, 3722
dbc6, af13
c710, b639
9183, 72aa
26c8, 9709
114e, 14a6
34bd, 5f00
4f52, dcbe
6a04, b583
725d, 584b
4106, e32c
6ae6, d13e
03f1, 9299
6595, 98cd
8a3d, bb07
57d0, 4dd1
b202, 63d5
4f3c, 7278
0e02, a6f4
b7b6, 825c
5ea9, 8f08
232e, d216
0127, 61d4
73c7, 7a54
67b4, a024
9fba, 0bbc
b889, d78a
c837, 493f
8d69, 1b64
548b, 6e51
0e80, 0f32
39f9, e44a
9df0, ba00
8eba, 6ab9
ec17, 171c
57a8, f05d
7dee, 7de9
2c6e, 9ea3
c52d, 6bb1
851d, 7edc
8791, c741
798b, 5f92
cc5f, 12a9
fd3a, a527
656f, 19df
147c, 683d
a281, ab32
0697, 83f2
1b23, 4b8a
5739, fb3f
2d3f, 186f
da59, 0553
e758, 6928
7645, 3019
6709, bc3c
4529, 3a32
aa12, 3eaf
d4c9, 1d84
5531, b403
cc8f, 8c74
f761, 2610
f47e, b68d
1f3a, 7287
b02b, 0ce8
e95d, 634e
9938, 667d
4800, 095b
450c, f2d1
a4e8, c137
25ce, 55ae
c238, b9be
5d2a, 4c29
3e14, 0e87
e1c7, 18cc
2e02, ef73
080a, ab3a
9ada, 5cab
26a1, 84c6
5143, d78b
c610, 82a3
6119, d78f
c1a8, 9dda
e415, 547e
2c12, 21cb
2a85, f133
ceb6, d26c
a8e6, f726
d324, c735
5854, 462a
4f4e, 47c6
52f7, b34f
6116, 618d
6a72, 8dd6
8142, fcc5
31ad, 412c
e599, 9ca6
c71a, 888a
8cee, 0c92
63f9, d232
6fc4, b203
f6a1, cadf
ba20, bdf9
a903, e9c4
ee09, 302c
975d, 2038
3e94, 7ab8
4df0, b2bc
b41b, 5279
2fa2, 416b
1e81, 299e
97ed, e141
27d3, f841
89be, b4f7
ab0f, 40ba
39ae, 49ae
2e5e, 62c6
a15a, 5b2f
5c1a, 4b64
b4b7, f240
e527, 1cec
babe, 5231
1183, e123
504b, 29ef
c07c, 1397
d353, 895e
9ded, e0e1
de53, 3a9b
db9f, 7aae
391f, 2acf
3eac, 66c1
6154, 93f8
f6bf, 9a88
640b, e22a
87d4, 9ab1
f250, 805f
d68b, ab71
78b0, c8bb
62c7, 67ab
c56f, 6a09
7417, 2a2e
06b7, c463
dbeb, 0026
cad1, 4942
5f6d, a9ff
4ea6, 1d1d
ffbe, 4963
40fd, bfd0
b602, e14f
5e25, 5187
d82a, cd3a
448c, 371f
c19c, e8cf
dee2, 069c
eb65, bcfa
ac7f, 1050
798e, b8f3
9315, 7130
96ed, 44d0
900a, f66e
f7f3, b92c
44e1, e557
a9f6, 1ff9
0580, b2f5
4bba, ab09
0f36, a896
06e0, b70f
790f, f9b8
12e7, e8e7
8b38, 86e1
f415, 9aef
2492, 3371
9972, 3992
8019, 2e00
e668, a0cd
8048, f5eb
7dda, c02c
b20d, 4f3d
c67b, 16bc
afcb, 633a
674c, b148
e51c, ce49
0d7b, 8177
bb29, d248
51ab, f1ec
08b1, d355
e83d, a332
f258, eff8
118d, 7722
db9f, 7aae
f593, 424e
e415, 547e
eeda, 3b38
796a, 7ef1
b2ca, 2e43
a994, 4974
3b68, 3537
d686, b29c
387f, ff71
c325, c42f
b946, c3a8
d523, e6f9
7d02, 3a81
afb7, 7cd7
31ed, 64d6
b5d4, 5624
40ff, 8bc4
0c19, b8c4
893a, 8fd1
3494, d73d
0194, d0e5
62be, 6a1a
cdd1, 34d4
31d0, 2bc0
01ff, 8024
4ffc, 1caa
47df, d935
df0f, dd40
9ff1, 0bfd
b265, debe
7ea9, fc01
4457, 7e32
915f, b6b7
1ef6, c12e
c4f8, 6d2f
d8f7, 765c
5cbd, b324
0f1b, 7fe2
4f17, c0eb
f05d, 57a8
4ed7, 95d7
4cd4, d6e4
4602, 711f
0ec5, 76fa
c795, 1ff0
3cb4, cd91
d383, cfc4
e041, a43f
8a68, 9c40
0da8, 04a3
d42f, eaf0
8936, d55d
74ff, b7db
c1a5, deab
acf5, 96db
7c93, 9b11
97ca, 4f87
1be7, 6191
5229, ed0a
65bb, d552
740a, 94b1
833d, f968
07cc, d7cc
db93, de1e
61cd, d186
38a1, 4c30
7e43, cb8b
053d, 57a6
912b, 3d2c
fc7d, f617
a03e, 7074
8f6f, 729c
0a15, 2410
3ec3, c877
5c3c, b431
f06f, 711a
1c1b, 0e4e
1c08, c550
8434, 9792
60ae, 7daa
5646, be46
b5d6, ef64
27c8, f086
44a8, 3adc
2289, 0a1b
fc61, 5079
a594, 419b
b728, 602b
b059, 4c01
1267, 11e0
de4d, 1997
006b, cc60
0acf, 96e3
87ba, e0ea
67f3, 89ff
ab40, 5359
97af, 2042
3dbc, a104
249b, 9a36
a34c, 71fa
06be, 265e
9a08, a15c
fc30, 5308
69eb, d039
53e6, 012c
4cc1, df03
2cb3, f2ee
5410, ba15
7c22, 5c82
77c6, ffce
730d, 6307
e227, aaec
ba9d, 96ac
3f3f, cd92
3eb3, 618c
d602, 2c94
5d5e, bd03
b58a, 20d0
d48a, 09c9
180f, 17b8
5b65, 61a9
87fc, 7898
ea70, 1a05
0a9f, b322
0fb1, 6eb0
da95, 70bc
fab4, 97e1
3d7b, 12fa
ac83, 0725
ffe0, 6f68
1f6c, e5a4
dba1, 693a
bbf3, 77fa
a4b9, 6db7
a8cd, 25f5
d762, 0cd2
46d8, ca48
d64d, 331d
a8db, e815
f2a6, a645
9841, 5763
4ee9, ea35
afe9, cf1b
dd89, 07fd
832f, a29d
e33a, 6960
e9ce, 59ce
ebba, 615b
99e3, ca7c
d873, 5302
e941, ee5d
be85, 6134
79fe, 587d
4147, 3a35
fdc6, bc6d
e496, dfa2
b13d, 5ad3
1c7e, 2752
4406, 9f0b
607b, e582
e9ed, 88e3
8311, 73a4
5ee7, 1f39
28e6, a999
c863, 78be
6c3e, 6436
1d69, 7b6f
6df2, c199
d06b, 0c18
8bc3, 1508
5687, 81f2
5ce1, ba31
3342, ece8
7484, 6e75
060a, dd0f
4ffa, af74
2e51, 1e78
9ca9, cb25
0bce, 2ba3
f515, ae15
3056, 9284
b287, 04cb
2cf6, 04f6
ecab, 4f6a
3764, 86aa
b530, 7b8c
37aa, 2b5e
3df1, 4a5a
7740, 3aea
3936, 3b06
991e, f94e
b607, 7cbf
b2c5, c4cf
7d0e, 1d05
20b2, 5082
3bee, 6b63
7eba, df69
5970, bf72
d174, d114
a7e2, 6712
6864, 2729
e814, f508
3ab5, e35f
d894, 6053
411c, d9be
e54f, 84b7
5ca4, 2caf
7998, e873
ae54, d638
1859, a80f
b02a, 2871
b157, 43e7
5dbd, 5173
6a99, 9f26
c444, 37bd
7941, 8944
8968, f0b7
f892, 7a34
9c95, 2152
b8f3, 798e
9f87, ff7c
89bd, c38b
5985, ef75
3d16, 67b6
9616, b436
449f, 12bd
9247, f5e0
e990, d8fb
dd1f, e6a9
3d45, d615
afa3, a81d
037e, 1b9f
498b, c972
898a, c304
3a3f, e6ab
6258, bdd7
be59, 6e8a
6721, 9659
8c95, 2c0b
732d, 80dd
d512, aea1
6a12, 7611
0d40, ab8f
4aa8, bdfb
8b40, cb7e
a091, 49ba
93ba, 7406
9982, 59f2
bb65, dd6e
109c, 4556
eb21, f3be
49fd, c98e
1341, e65f
7139, 7a40
767b, e3ac
c927, 482f
44e6, d146
7d2e, e0a2
aa68, 2a7d
b362, a3c7
7a1f, fee0
648e, c403
890d, a385
0510, 329a
8d1e, 8675
486f, a945
371d, 8599
b574, e60d
dab1, f5fd
bddc, 8aeb
c1bb, 3482
cccc, 33c3
81c3, 91ae
1183, e123
c2f0, 51dd
25ef, ad9b
a87d, 1886
00dc, be5c
222d, 35e0
8af1, 723e
ca44, d823
5534, f1a8
cda5, 2040
7d16, c2f2
ddd7, 8a2d
3b86, 6b8d
09be, ee23
ae00, 9ebd
1835, ed01
a54d, fa2d
0e10, 8493
1b63, 7b0e
cfee, 0523
3da3, 78a4
3e87, ce27
3bf9, d089
4af3, b855
a217, cd14
dde6, 6151
7e36, e190
4bfd, f0a6
b4ee, 8346
2aa7, 9b2f
9690, 2a55
0874, d8ca
cfb1, 6224
2983, 17d6
920f, 868e
e3d5, 5e03
652b, 14d9
838c, 5e93
4690, fdfd
9a16, 8413
2199, 5be5
c960, 1376
18fb, c9f2
42f7, 2683
06ef, c8c0
8b4f, 1635
d56e, 35dd
d6d6, dc7b
352c, 3bcb
7c2e, dfd3
2873, 1e7c
dc7e, f752
0291, 7f3f
ce2b, 650a
8317, 7454
5ed2, 0d60
44b8, beb4
0feb, 984b
3f0d, d826
ad4e, 6d14
6f57, 3828
c563, 8274
3a66, ef0b
914b, 8a67
056e, fda4
02bd, ea09
9c3c, 2ca0
445b, ce59
c23f, a92d
3228, a43c
201e, ebf2
e626, b9f7
71eb, fe15
382f, 29e1
9b50, ad2d
591d, 49d1
8a28, 694b
107a, a6ee
0d20, 6769
98b2, fbf0
5415, 541e
408e, b8d5
6dfc, ce9e
3cb6, dd54
15f2, 761d
5794, 202e
5194, ed55
0586, 8f01
f930, b7a0
b281, 124e
2010, 61e5
4a08, 4dac
6fcc, 782d
c0a2, d45e
a9e1, 8578
1e37, 1aaf
250b, 8dca
b4b1, d26d
674a, ee8d
6d21, 9640
fd6c, 87c2
da5b, 4bdb
3084, f91b
201a, 58dc
d70e, 370e
6e1c, 5e8f
e64a, abf5
d75b, 3f55
62ae, 1916
2262, 4132
172e, e38e
2aed, 6eac
e1f3, ac23
0ce6, 246e
31e1, cee1
783e, d9de
a50c, f261
bc31, 670f
f38d, a038
f3c1, 550b
6b46, 2290
4527, 9d3a
8c5f, 06e4
077c, d773
9f43, 0016
5965, e462
bc1f, 0814
37de, 3a94
d35a, cc21
f68d, dee9
29ec, e75f
7a4f, d5a2
603a, e1b8
58a1, 4726
568b, b732
8a0f, 0490
ea33, 3a63
a94e, e94e
d799, 7799
1d24, b89a
6b22, 60ad
e0ef, 17df
6968, 67f6
2359, a393
09ce, e02b
7c47, adb5
beb9, 635c
bae6, 9dc6
32fe, 3283
84f5, d341
ac43, e825
339a, fa59
3d87, 4d07
c6f4, d4ba
24d0, 39d0
3ee8, 9f37
704d, 8edc
21ae, d870
9440, fc1b
4a5b, 6afa
51cc, 5e55
a930, 1245
61bc, 8b76
592a, 2f9e
6a4e, d3f4
ea80, 8ab3
f513, a283
1c4a, a991
be89, 7385
9cb4, 8183
0f18, ceb7
b038, fb73
516c, 63a8
127e, 657a
3555, eb0b
0dfe, 5d73
5faf, 9f74
fba7, d3e7
aba8, c23b
7abb, 151b
283a, 0864
8502, 0ac4
ba0a, 24b1
44d2, 591a
110e, 7705
9be7, 89c7
80b3, cbd3
2461, 2d1e
3134, 2427
9ca7, 25e4
a56d, f5bd
ad03, 42d8
75b7, 1ebc
d103, 5fb5
efe6, 8c2e
ffa5, fc1c
2e8e, 9e9a
e340, b13a
317a, 4481
3b9d, d286
5ad5, e069
0ab4, 2a01
1104, 2b5f
d278, 2e14
fcf1, 54b3
cfd3, b983
1430, d061
27d5, a449
cca8, 71ca
c744, b09e
66f9, 8522
b0bf, 6604
5ff8, f639
6222, 6200
a7c4, 9d63
038e, 237d
4f93, decd
a6a3, 66ca
bbd7, 6441
2a4b, 0e4f
af29, 9ac5
a6f9, fd23
f3a3, 0ced
f6a2, d0cf
8f23, 6ebd
3ec2, 3aef
a15f, 1fba
c8da, 47ea
89e7, 053b
9b95, 6d7a
cebc, 12c6
9009, a8c4
f69b, b400
8c5e, 69d3
a705, 416e
e0b5, 227b
83e5, 1407
6463, c41e
f9a9, 9037
0644, 0e4c
a96f, d2bf
3e51, a1b6
1ebc, 75b7
026a, 4389
27c3, b84e
d876, bd0b
93f6, 4f36
c962, d912
1d12, 80c5
2f02, 93cb
6110, b0dd
56a4, b614
dd61, 4ce4
13af, 324a
fb2a, b8ba
c8f4, 1a14
01fa, db35
d60c, 547b
90d8, b935
cd44, 3240
6c2d, b75b
08df, 9bef
b256, bf4b
c259, 22c9
9ddd, 9d77
263f, 176f
3474, 2f79
def9, 0f9e
b8f1, 07f8
c001, c293
892b, 03e1
7208, 86fd
29d8, 85df
90da, 71ac
69d6, 820b
b726, cf1c
cb07, 346a
e9f7, fb5f
dc7b, d6d6
2bc4, 576c
22df, a3d2
9511, fdaf
2d27, a83b
fe6a, 9e0f
2f02, 93cb
e460, fe29
f40f, 3acd
2c59, 3a3c
4d02, 7c48
a36c, 71f8
9521, 0721
418f, fc7a
d821, d16a
243f, 2681
6b4a, e660
35f5, 98ae
5a91, d121
87f6, 292a
d05f, 4c64
880f, 9759
1209, 7c4a
5a8c, e487
c6de, 45db
87dc, 75a1
4d28, 9253
6a78, 8501
7988, 1a71
ecb2, 6021
ff6e, 5a8a
cdfa, 6124
6dfb, a4f8
7a63, 1a51
908b, 025f
ea58, 9321
d2a6, a846
5b4e, 0bc3
9a2b, 0cfb
25af, be8b
fc1b, 9440
28a3, 066d
f47a, 34b5
636b, 240a
6c23, 11f3
e353, 07bd
dec0, ec38
f769, b039
f11a, f06a
9617, 7a83
60a3, 8d4a
313c, c257
8aa3, 8cad
033d, 6913
76d3, 5fcc
9f73, 6866
5e1c, b31a
1320, d2b4
7414, cb29
98e9, 80d0
a84f, a68f
e08c, 50cb
e5ed, 5ee0
0834, 06a3
d6c8, 6907
7423, 092a
2d64, 5609
0221, 9821
0b97, 52f8
6b55, d04d
798f, b8f9
cdce, 1b75
5138, be7a
1ff9, a9f6
19ca, b28e
378a, 281a
52ee, 65c6
5c2e, bd2a
c761, 7dcc
e352, f1bd
011d, 0c13
29d6, 3fb6
9045, 6434
629e, d2f6
9c59, c9e0
45fa, 4a80
de58, ca57
dab7, bb91
cabd, 4215
a650, 4503
d6af, b3ae
f838, 90fc
ef25, d750
9def, 2997
2f23, a452
3d92, 4749
cf26, 85eb
394e, a91e
1a87, a253
18e3, 69de
59a5, 9760
684f, edb5
5575, 57cd
0a88, bac1
13e8, ac18
855e, 895a
27b0, 9166
14d7, 23f4
526e, e2d3
2cc1, 2352
43dd, c0d2
4fe7, 6239
d87f, d1c9
f167, f438
0909, 62ce
417f, c02b
d435, 13ab
0a12, 2acb
78c8, 25a9
caf3, 4451
9d33, b4cf
9bc9, cd35
39c2, 61c3
4ee0, 9547
b14b, bb87
1d21, d8a8
6038, 0367
21b8, b2a7
f864, 773a
8d8d, ee8f
2a72, f1ee
fe00, 3a8c
3a8a, 2f89
9752, 6c7e
f0e1, 0f60
bec2, 2d93
0c4a, 8899
ccc1, d61d
ce1b, 75d1
2b9f, bdc7
b095, 306e
d0e7, 0e68
2a8c, 3487
1f36, d668
5128, 7e28
f653, 4dff
d14d, 4f2b
6fc5, 74d2
4265, 9e62
b816, b666
ec51, 8558
1890, cff5
860d, 753d
cda4, e042
85af, ab16
8b80, 7ae2
a909, fc37
86a0, 1b4b
cd35, 9bc9
b109, 923c
5e71, 4cdf
fd6e, a9c1
031e, e16f
61fb, 800c
613b, 8477
bcce, bcc6
ea7f, 59cf
0dc1, 6b97
0104, 2e3d
2eda, afbb
b5c3, 221d
f10e, 126d
1c2d, 8f0b
25dc, fd2d
dd51, fe45
c7fb, 1ff2
e6b6, 2071
d660, d112
83d1, 7bad
af13, dbc6
833b, 40a8
7fe6, d256
67de, ea94
661e, e61e
d6aa, 46cd
34b6, 2850
7429, 6efc
a21c, 151a
0738, dcec
1f7e, 0963
af49, 05dc
c9ec, 8ea1
4e34, f54e
a798, 4c41
08db, 9f12
ea72, e3d3
d906, 89c1
9225, 49ee
8d84, f69a
ea77, 2481
b67b, 7c11
cbf5, edcc
4857, 9ad9
bb65, dd6e
b7fe, 77fe
5e35, 2186
5848, 9b26
908b, 025f
daae, e547
d93b, dbef
5edb, 76ca
6341, fc8b
d363, c37a
5f0f, ebaa
5dbb, 5177
4304, 95bf
23d5, 0dd0
2855, 4a83
2624, 05d4
eda5, 6dc2
a698, a85c
784b, c55c
489b, 1f8b
7beb, cd30
e86b, ef30
8f59, 7827
87b4, ef86
8872, e78b
62f5, f71d
a765, 9a32
efe5, 6268
6f3b, 3735
f81d, b2a6
b0bb, 5502
0a98, 79b3
4ed8, f567
6d28, 7e06
ba8a, e3b0
c067, 192e
5322, 5c88
c024, 71ff
3a71, f30b
6b17, 0a95
a241, 2bf5
6b6d, 5fc3
0d38, 5339
e6d6, 3887
d070, e282
32bf, 66da
c6b9, 8dba
0d3b, b827
a236, 39d7
86ab, c04b
4cdd, cc73
5f00, 34bd
f261, a50c
fac2, 9ae9
af03, 3fc4
698f, 85b2
7fa2, 0548
5644, b6c4
8ec4, b263
ba51, afe4
d717, 6bd0
f546, 5f69
840f, ca2c
253c, 4f21
f3cf, 7618
c1fe, 6153
de83, 60e2
ab20, 5621
6109, 9d5a
c66c, 3a6a
8336, 8938
eaf8, a2e8
9ee0, 714f
2b43, 0013
6591, 7444
8822, 4a7e
021c, 6cd7
39fd, 25f1
278b, 7829
3cad, 1f02
120b, c366
f3d1, addf
f5f5, b850
aa08, a64c
05d8, 929e
2a48, 9528
c390, 8781
a185, c22e
edec, 326f
44dd, a72b
4fa6, 027b
c33e, 1344
affc, 1c44
a8f9, c8ff
8a59, 3d8c
d708, 39bf
49b8, 81d8
7e8f, 62d5
96e1, f658
fbc0, 8af9
e8ae, 67c3
dd82, f1f4
4c82, c721
f502, a3be
698c, 820c
ad11, ad66
946e, 8cb5
ac5c, eca6
42c1, c5ca
b7a5, 88e2
200c, 288c
da96, 71b7
9013, 4eea
9884, a8ca
3f1d, 6fc3
e39b, 9af1
f749, 5b45
8efa, 740c
968c, 8424
3b4f, aba5
1076, e57a
c5bb, 136d
eac6, caed
3840, 9128
25f2, b7ae
5853, 98fe
a3ac, 6215
03e9, ba3b
f86d, ef9e
8ba9, cd32
691e, 0e3d
5cb0, 1d4e
3ee7, f9e7
fb5c, 8260
950a, 6f8c
abc2, f345
0c69, 0de6
d972, 743c
bd1f, 26a9
a4cc, 1c4c
e856, 69b6
039c, d01d
c749, 1d52
1491, 5068
e8f7, ddd9
6f61, b2d6
ed08, ac87
800e, c0de
bac6, 03c7
9e31, 4b29
f74e, e592
4566, f2bd
f7ce, 77ce
a728, fadf
cfc7, 7418
487e, 3b96
68b4, ab24
98ac, 286e
da33, cc4d
8920, bdd1
e3f4, 9a2f
c046, 6fc8
9aba, f83c
d8f9, f9f8
95e6, c0fc
fd03, f11f
e9c2, dc13
a84b, 1967
40c8, 1a72
b40c, 63d0
f89c, 59af
c00b, c704
6d94, be2f
0c4b, 0b77
9b9b, 08b5
e8a3, e2b5
982d, a836
597e, d888
5786, 4d81
13c6, 9375
1fff, 197d
cd96, 7bfb
907c, ec07
2f74, ef84
7049, 1de5
afc8, 16ed
e3f8, 594b
c766, b87d
b03b, eaa8
5a84, 9fd3
e011, 5b80
21ff, 50e2
cc7f, 7cc9
5b77, 0792
3633, e653
5533, 35c3
b8b0, f1d0
6871, 7760
14fa, de86
171b, a161
2d32, 50e3
e2db, c362
4e95, 55e9
4e5b, 1b35
de88, 8efe
b749, 0be5
9dba, f78f
3ecd, dd46
daf8, 9fdf
c516, 6f17
ea02, 3329
2c3f, 2e2d
3055, 3d32
b352, 0a44
2496, 0552
7601, d4a9
e5b8, 5de8
75f9, a743
80c4, 4099
98f5, 0298
6249, 04f2
addd, ae44
d123, 4183
13dd, c50b
f97f, aa84
9c11, 87a2
8b07, bb7a
7a4a, 3571
9108, d3f1
c470, 0453
3f81, 3987
6d1e, 3d13
ace4, ddd1
f2d5, ecf8
0617, 54a0
39f5, 797b
7ecf, 85ca
977f, f6ba
acaa, 308e
2829, bd2d
b660, 2ed2
2481, ea77
0395, c5f6
2c7e, a916
602f, 1c34
29d0, 34d0
11cc, 6dcd
bfa1, cb66
3146, a121
f136, b6da
df62, 3661
1f28, a729
2497, 3c59
c924, 4c8b
b99b, ba13
4800, 095b
3631, e56f
801f, 6f1f
8873, 8877
08b5, 9b9b
56a2, 0673
04b4, 540c
116b, 5562
7fa5, 00cb
a6be, 4ebc
15ac, e4cb
838c, 5e93
c89d, 4f86
7107, 6a13
5649, bd19
2b48, 1e4b
e9fd, 5b94
0b1f, 9b42
4c7d, 7755
4f63, 3414
bddd, 0716
1ed3, 4053
55d2, e3b2
80ef, 7ebf
a470, 0403
242a, 1511
1184, e184
2a24, 1e17
6c98, 8057
29a0, ffeb
08b9, 6050
09a3, bfcd
0175, eace
505a, 770a
cae6, 641e
a633, 1084
bc25, 967b
cd14, a217
4e7c, 64c9
6e38, 1fe6
48d0, 3812
ad8d, 1c2e
673e, 873e
3573, e593
37fa, e8af
1f13, fb87
3d81, a1bc
ed20, f51f
ca34, 04d5
82e5, 0953
75a2, 0a59
520f, f4bb
b032, 6c4f
bc92, 7cee
e2a7, d44e
4081, 6d7b
b37d, 9394
ba8e, 931a
7693, e108
5628, 4c2d
54ae, 9f72
4243, 5999
31c4, 4a81
e08a, 22a2
166f, 70df
493c, e066
5f88, ea18
d04f, 4bcb
0b9c, a2a6
906d, 817c
b4ef, ba67
2f3c, e82f
a265, 9ed2
8b02, c6d5
f4d6, 9750
d758, 0c64
e591, 0a29
45d2, 9362
7505, d979
e191, 5797
49c2, 0d39
1b07, e46a
35e0, 222d
b5dd, 3f64
e386, 1fca
d659, 1a97
46d5, 9bd5
66a1, 3eca
8d43, 8af0
b84a, 6023
7d4e, 8490
0edf, cf69
beb5, ce74
949d, bec0
4cc7, c337
37a8, 2c48
4f03, 99b3
e578, 658f
31d6, eaed
58d8, 0240
d7ea, b63e
6c96, 1a2e
3935, d36c
c9cb, 243b
41ab, caa0
85bc, 6f7c
b807, 5694
75b4, 59b1
5e4f, 7907
2397, 8392
cb3c, 7b21
8027, 7b51
8e96, 3668
616d, a11e
bab2, fa8b
2cef, 38ea
5936, d29e
6c88, c8b6
8a8d, 99e4
7dce, 8d75
d137, 54ec
6124, cdfa
a4ac, e2f6
55b8, e301
8683, b91c
9458, 2e57
5f65, 34d2
6c94, 8023
aa35, ff32
e937, 3356
31a8, 3ed9
44b7, c804
dd76, b27a
ea5d, aafd
ac54, 202f
0f4e, 0fc6
1c17, 4dd8
ac5d, 2658
75d6, 3425
c4d1, af45
f59e, b20c
00f7, 22f7
b9fb, 041e
c548, 153b
14de, 0327
8186, fe4f
a01a, ba69
011d, 0c13
67cf, bc7f
aa97, c8af
f725, dc83
9809, 0348
9311, 25bb
8dec, 7b37
0938, 5bc7
8dde, 70d2
ffc6, 7746
d272, 0043
beb2, f0af
167d, 3f4b
5c82, 7c22
9367, a308
cdba, 6cac
7311, 83a4
397d, 6998
8d1c, 47e4
7593, ce5f
995c, ad07
fbc6, 6ae0
548c, ea87
6d74, cd86
71c2, 8c10
67ae, fb77
bd2d, 2829
e68b, c5f4
5fc1, 9366
dcc5, dddb
e805, e82b
5b66, c7a6
ab2d, aeb5
83f9, 7ee3
62e7, 63d4
5b00, 654c
7fb0, 1156
e677, 4d8b
26f1, 1ad8
d3fb, c294
b433, 83ad
ccb9, 1250
