95d2, aab0
0dff, 5460
58a3, 7727
fad5, f3ca
64c5, 7b6c
662d, e97c
1d92, 0a8e
34a4, 8837
3da3, 40b0
9991, 8357
f800, c6cf
3b92, 8b92
e07a, d74f
cb02, 561c
5a76, 3159
8d7a, 3d7a
806e, 319b
6a68, 3929
5140, ae92
2cb7, 4253
3896, 7093
3306, 333e
0f10, 60e8
ad42, fb14
1eae, 37f9
4058, a865
4f2c, 8aaa
27e0, 862e
591d, 429e
7ab2, 6fa5
410e, c410
865d, 1151
6388, cff5
f4b0, 75bb
0824, 7824
5a7e, b014
5a9c, 738c
6c4f, cb5e
01bd, 36dc
e35b, 47ce
2484, e208
ba19, 0838
671d, 5995
45a4, 7779
821e, 0c8f
0fd9, b097
0d8b, b4ee
62c6, f93d
9e35, 82c4
a56a, f70d
bf4f, 2514
0eab, 4cbb
2828, 6743
8230, 35dd
aa06, f552
e610, 3a4f
47b5, 552e
768b, ada3
0f4b, 4218
349e, 132d
4538, c7d4
f421, a73c
81f9, 42e2
4e2a, b23c
2bf5, 3da1
2a7b, 49e9
ca3b, 6d2d
381c, 1c8e
d440, 8f06
a659, 87dd
b045, ee72
e98d, a486
ef77, 281b
1078, df4d
65b7, da4a
d8e9, 2f1a
8f11, 575d
c853, f42d
9ae9, a26b
2312, 5314
f6f9, 1180
afbf, 70b4
d59c, 67d3
6cf6, faa9
74fc, 9132
1ea1, 0f57
a9e0, e61b
4bbc, 6fde
3c8c, 313c
1c09, 2e41
e487, 46c8
cbc6, 4a8c
7260, 046d
c9b7, f33b
4c4f, 2fc9
caa5, ace8
9e52, 435f
1ff3, e4cd
a1ba, 1338
877b, 04f5
0ba8, 9fde
f9f7, aa11
0c55, 1291
790c, 2032
1125, 6aef
86cd, 4b68
0b1a, ab1d
8ef9, 89f8
2198, 020f
05d8, 0d78
7c94, 2740
ea43, fd00
d821, ce0d
2a8a, a439
8e85, 3fe7
bee9, aa3e
fc5a, 1e0d
f74e, 005c
0aaa, c626
7202, aff3
7f6a, 3859
d5b0, 945b
f3d7, b9ac
9cda, 7354
a69c, 791f
827d, b989
02d3, b53c
6003, 766a
7c44, ade4
415e, 6be5
28bb, e28f
092c, 285f
5cd9, d797
ac7b, 0d8d
8fd1, 5b53
3e3b, e5a8
709e, 6d2b
e1db, 7678
03e2, 7f23
a5fe, 8449
0954, 3fdc
5ce0, 292a
b839, 4e1e
1b98, b213
d3c8, fcf8
aa48, f01a
a2c8, ff6e
b5a7, 48ae
355e, e2de
5494, c926
d8df, 018b
e70a, f6fd
f308, 23cc
94d7, 83e5
c894, 1330
28f2, 4307
1175, ec48
f17a, 7dca
e347, 2028
d637, c9ea
dce1, 7597
d64b, f9f3
9aa4, b4cb
be41, 15cf
05e7, 2b3e
6ec9, 109e
63f4, 0a07
fe5a, b7e0
1295, bd50
44d2, a94d
7af6, e787
f33f, d44c
ba8a, 3ce2
ecc3, bbe9
1e75, 1916
7a59, b995
0509, 3ecc
de85, f0ed
3b24, 8b24
7f11, c8d6
e3d8, 53a8
9b16, 4b79
ee89, b0e4
c0a5, 850e
a33f, ae3f
8f2d, 79d0
7ed9, 365a
f8d5, 1a25
9624, 5734
82a1, 503d
c053, 8a98
a352, 3f45
f49e, 1da4
e306, 0007
60a2, d596
ffd8, f4f5
8a4a, 1b12
5ddd, d10a
21f6, 61c6
1d69, e677
c8f5, 8fe4
3b47, 3321
eb90, 06db
e65d, f5d2
4fa9, 1caa
30ee, d18e
17b5, 6149
752d, 1502
8896, 73c3
134a, d6e5
4c98, 2cd3
591b, b070
ded7, 155d
d3d2, 23a2
efd8, 9af7
d190, c4ca
d132, 3a7d
0be6, c85e
8bbf, c53a
fcc1, 778d
4d51, 0275
313a, 56e0
23e8, 25a3
d457, 86ee
2168, 3f4a
b38a, 9468
4d16, 8717
5167, af0d
d195, 5c8c
563b, 5dd5
461c, 63a7
8cb3, cc9c
d0fa, 7a2c
b3c3, 6ec8
11eb, 6b39
41e5, 7b65
b9d2, e216
f3c9, cc66
993d, 291f
3c00, e293
a37b, b703
de4f, 2cbb
4bff, c9e6
010b, d1dd
2864, e83b
57bd, 4781
4b5c, 3903
4420, 981d
f1ac, 19de
784e, 9e61
57dc, d809
90fd, 73eb
4144, 4853
b3bc, 218e
4b5b, b398
3ca4, cd62
21e3, 51e3
27a3, 6fce
c12a, 68fe
4e0e, 3905
d178, 2c95
568e, 830a
bd52, 9d34
49c3, c11c
4fdc, 625f
3a59, 7995
ae64, e152
e068, 20f6
0e7c, 3043
45ce, 96eb
b8d8, b210
aaf8, 4d90
9399, 6218
a3b6, ba61
79ed, ea6c
891c, 8688
d4f4, 3d52
b234, 4d84
f3ab, 2f35
6a60, 6203
39d8, d9a1
6df7, 7872
6e14, 1f34
97c1, d58f
957e, 62d2
6de4, edac
d01c, 9dac
81ae, 90a6
6f0c, a2c1
d9fe, c436
ad85, f261
aa78, cb39
0841, a896
de23, 15fd
3a6a, 949d
9662, 84a1
b62e, 2c07
fe64, 136a
8c2f, 6439
26a3, a8f3
dab9, 7136
2146, 1104
343e, 8394
c409, c97f
596b, bcd5
987c, 19d7
5c19, 6992
8895, 6813
5585, 077e
38d4, 2c00
d671, c344
0aed, 37e0
24da, 0993
1b0f, 6e5a
3eea, dd28
e2ff, 71d1
a48c, ab8b
241e, d0e0
fede, cac9
4fd7, dabe
ec82, 6fdc
18a6, e7af
1880, f9aa
1f0b, 6b5d
c894, 1330
d56f, f633
46a6, 0908
a2e6, c83f
a0b1, 7fb9
e291, 371b
0834, efa6
7fa5, ebc3
6854, 77f5
03bf, 9457
60f4, 406c
d54d, 8d18
c37e, 97d9
deab, bc6b
c5fd, 9758
a17d, bcf3
ab51, e4b4
324c, 2648
2de1, ee73
8455, 64d3
0d71, 369d
5dca, 8503
bd81, 4e4d
68c5, 53bd
c3fb, df29
0f38, eda8
9e10, be02
2c77, dcd3
fd48, d421
4ee7, 2cbe
0277, 68e1
1222, c69b
d9de, 7011
2d66, ef8c
e449, 1691
d68e, 708e
fd97, 4d07
d287, 0a02
3734, a0cd
c80f, 0a51
ea15, 7318
1967, ae96
0277, 68e1
5c26, 227f
5b90, 7ffe
b882, 40eb
1927, d47c
541f, 2f73
c7ff, a05e
4d5c, c6be
256e, 323f
17de, 6485
e522, e52f
952d, d84b
cc24, 7ddf
75a4, ed8e
7cf7, 779e
f21d, 4203
313b, b76d
2273, d274
7131, 20f0
48b0, 3125
e59a, 9fb2
5425, 4566
f1e0, d935
df8b, a8dd
1b9d, a630
6329, ed8f
1a41, 2542
f19b, 3cf1
f748, 0331
7177, 2681
e1df, 8151
9f85, b86b
0713, 8199
53d5, a6cc
9189, cbd7
fe11, f9ab
c753, 48e5
a6b0, fb88
296a, 5360
b787, b0bd
ef60, c1fd
a757, c82f
d14e, 04fc
f85f, 8c44
67b5, e777
acf6, a012
3b6a, 7751
d556, 6b96
43bb, 5a65
8659, 25e1
4434, 0cf0
9c4b, dc78
58e4, 6366
c324, 4930
859e, fb4d
3f2b, ac70
5906, 77ba
e37b, 9eb1
46da, f84e
329c, 60a8
47b1, ba51
d1c2, b6cf
ddf8, fa5a
9a36, ab4d
f115, 5b28
6bc7, a306
368f, 782b
7233, 593e
8145, 53f6
6e5e, 79f3
cea2, 4003
f57b, b119
d040, c7e8
2d6f, 07b7
1c0f, 5c94
1eef, 9229
5061, b0cc
cf9b, eeac
afb3, 7bb2
c435, 4abf
0ec5, 074f
f302, c64c
21b3, cfdd
6b82, 76ba
78f2, 94a7
af04, 4aaa
3639, 929f
27d5, 733e
96e0, 8df4
e9ff, a68b
bdd8, 89d9
8ba4, dde1
9de9, 66a3
9fd1, ecfd
67e0, 8a3a
b63f, 6878
1c9b, daea
986c, f41b
108e, 2405
a916, efd2
0d38, ad1f
4238, a8ca
7d16, b7fe
f5f8, c20b
980c, 536a
b72f, d3c4
7022, 7042
6c03, 1a2e
0e67, d78b
ccb8, 0e53
e53e, 2af9
39e3, 3753
1e3c, d515
1947, 2608
76d6, 18f1
03e4, e815
3a4f, e610
53bc, dc6a
d0e2, 1ecc
e595, a165
2a7d, 06a3
c19e, a023
d3f5, 074e
a7ac, 1697
dc7d, c56a
6f10, b8d4
7ef0, 5ee1
4d09, cd67
bbe6, 29eb
1f71, db51
64b1, 2b12
8b92, 3b92
8421, f167
f93b, f93c
3323, 4d0e
e7f9, 4d46
0e5e, 931c
9e38, 9156
235d, 61f0
00cd, 83f2
4658, 8dfd
94e4, 6af5
d105, 8fa8
be44, 6e44
c475, 2f85
420c, fb1e
e7e4, 71f4
bff7, e8d0
af06, 29fa
54ad, 5005
d8b9, 001e
e4e5, 0b2e
9d35, 6a54
a268, 9244
d2db, 9622
e447, 3454
dd04, 9e11
cbf5, d891
8c76, 39f9
2ed1, 70df
6d5d, ad11
c03d, 52d9
37eb, fc6c
f368, f0db
0930, 34ad
6fe2, 9477
6060, ee05
0301, de71
2f93, ba9e
9e5c, ba28
97e9, bc4a
9680, d974
19d2, 2ec3
f917, bd96
b0f4, 00c8
59b3, a978
629c, b8eb
38d6, 5ec4
53ca, 03b9
24a3, 580a
7be6, 527a
9d3e, d842
4da4, 7243
0ece, 00e6
1351, 87bc
ba3a, f895
7d9f, 769f
44ec, 1542
a83e, b600
4df6, c06a
ea5d, afea
0c8c, e98e
7113, 4b25
0e30, 1bc3
b9f8, e145
38b6, e828
5282, 1b40
6cf9, af19
d43f, 1974
d77c, 093c
c33d, 12f4
abb5, f027
6e0b, b30c
eb1e, ba5a
f755, b346
7fe1, dbc7
50be, 8256
0a80, ca80
3cd7, 5598
a9e0, e61b
7623, d10b
83c4, 5f6d
56a8, 7838
67e7, c902
f1cd, 76fa
b7cd, f825
9363, c81b
b70e, 67f5
8c32, 0386
8651, facb
6c19, 8482
3851, 15db
cd2a, ab1e
bd76, 453f
d2b1, 0b16
9d47, cdc9
3de5, 8ca1
84f6, 91a4
83c0, 5c98
415e, 6be5
3ec9, c2e9
8e12, 55b0
6dbf, bfaa
75d8, 3c5e
6b34, 7328
37c4, 0d2a
cd24, 559a
d148, 17b2
9986, fcd1
e283, 0dfd
a218, ea42
741e, 1682
0d89, 85cd
7350, e060
109e, 6ec9
0832, 2595
ba59, 7262
ee93, e6f5
d5fc, 3b56
a6af, e135
3781, 390b
097e, e90c
97c8, dff5
53a1, 967c
b39a, d41e
22c7, f698
23b3, 085c
1f35, 5c00
ad86, b8bb
d3be, a934
09ab, db39
2dea, 31ed
b397, 3f23
6cdb, b1dc
2c20, 7e14
cafe, fb60
28cb, e0a4
13f3, a0ed
1d5a, 5b31
1323, 1328
c593, c1cf
775a, 4f2d
09dc, ec8e
2503, 2d8f
f142, 0290
a390, efdd
44ff, bd64
caca, ed57
ce4e, 4901
7817, c3d0
81b8, 85b9
5192, 4216
0965, dc75
8ebf, a8eb
8ec4, 3ec4
e4c6, 34c5
8e75, 0e75
edfa, edff
b348, 9889
668f, b562
8c7e, 3944
4d10, 2e24
3aaa, 30dc
7b83, 5cb0
70d4, 0af1
4b4d, 46b8
b445, e4c0
d225, a8ee
2270, 9c8b
6075, 0ec1
1f0e, 21c4
d350, 57f3
9bbf, e39b
d063, 9eab
c71a, 0430
17a1, 45f6
7d3e, 4657
3292, 493b
fbe0, 9bc8
7c35, e1dc
d6cc, 4e71
106c, 9c70
1322, 7eb7
8640, 864e
8384, 5446
1720, f92d
ce7f, 4555
1211, ed35
580a, 24a3
91da, 7851
7b3e, ebdc
5b8a, aac3
096e, c494
af70, ba63
7fb4, e2da
3bc6, 1755
f0db, f368
9d1e, a27f
c5f8, 06fc
b5c1, 9bc2
0fb1, 8df8
462c, 658e
5c4b, 1f61
7ad4, 43c3
d8f2, c16a
ac9b, 4512
f5f3, f7a6
aab0, 95d2
0d58, 851a
0c45, 1a7b
b92e, 6a28
576a, f5a0
9d4f, fb85
6a28, b92e
92ee, f2b6
ee23, c944
9550, 8774
2588, 263b
fc95, a944
5441, e33b
8538, 017b
98db, 040d
bf99, cf46
f055, 6122
a0e5, 149c
fbe5, 70dd
ccc0, 1bfa
0048, ee0f
95cd, 01a4
3a56, 50e5
3bea, 0b73
ddbc, 39aa
c5ec, 397d
c61c, 6caa
50e2, 201d
1df7, 0d0a
b04a, 0ded
4674, aaaa
25fc, 5976
7a88, cad8
5cdf, 4d5f
67c5, fab2
3f8a, 8462
7adc, c2f7
3737, fcf1
d2e7, cbf7
820d, 7da5
c70d, 235b
76d4, 83ea
fed6, 63ae
8652, 4986
4dfa, 6497
75dc, 3c3d
38ed, 73c8
e670, 5d9f
010d, 5106
4f3a, e4ac
0a23, d700
8c70, 2d64
b973, 5e99
907b, 73f8
ace2, 412d
6ee9, 267c
2c2c, 0b24
15f8, a4d9
4ec7, 9d62
523d, 74a8
5c23, a673
f15c, b041
e057, 1017
41de, d1e1
38c0, ec83
d909, 37c8
6277, d28c
8b2e, c3c8
aa88, fcd5
4654, 9da4
db39, 09ab
c3c6, c1e9
9461, 95fc
9807, 66f7
2b6e, a3f5
e8b3, 0f42
bc9d, 874d
c448, d8b0
472d, 94e8
75fb, 19ff
214a, b5cf
317a, 6ca0
dc08, a4fc
88a0, 37a1
d3ce, 086b
9698, b028
a308, d52c
b62b, 66cb
846c, 346c
7454, 0381
8031, 4c21
9d7e, 4db7
31a2, 892a
26e5, 5a73
4cae, 41a5
10d5, 5835
33e3, fb98
9aa6, 7be3
a63a, e483
0eb7, d5a4
7702, 70d0
205c, f45f
f34c, c07d
82b9, dffc
0170, e851
2f74, 5630
6af0, 44ae
70ef, bd3e
a325, 7e64
4dc4, 725b
e7b2, cdc6
e500, 7ed2
c60d, 2202
7a4e, 2686
c5df, 4507
48b9, 582e
8420, 8956
1260, ffb9
d105, 8fa8
a096, 9738
a40b, 4bf4
e752, 5532
fc3c, 2952
e2f4, cd70
b80e, 8e19
8b49, 4c5e
499d, 27fe
31f8, d710
d7ee, 54d3
87f7, 9c0a
87da, 0443
a8a9, f00a
e3cd, 2e3b
eba0, a5f2
cc60, 0579
4576, 14f6
3745, 8a10
e919, a01c
8f1a, 6f5e
ebc3, 7fa5
b602, 22e4
ef24, eb7b
9977, 3b7a
017a, cf9e
d8d4, af99
ef9b, bbbe
f7c7, 703a
ec20, e3da
48ab, 85bf
7f35, 4e18
0033, 92a9
0d60, 7ac1
c590, 8ac5
274d, 6cb8
1a8d, 31f0
dbf6, 7bc6
fa3d, 6829
7ba3, b287
04e8, 081f
beb8, cfd0
6e35, b584
d12f, 0bf3
5219, b7b4
3086, 4e79
61fb, e57b
332b, 2ea2
aa3c, df66
9378, 097c
c0af, dc6d
b76e, 9127
e238, 7d00
405e, 1e8c
8683, dc49
c6f5, b934
8c2a, 168e
6ec4, bec4
1bb3, 37b7
e011, 3e08
45d9, c575
4dca, c701
96e3, 7a9d
e301, 5385
c364, c054
29b5, 2a34
de99, 1359
81a9, 474f
10ca, fb2a
f3c0, 22ed
11da, e744
bef5, 4b58
b8cf, 967b
abe9, c1bd
580e, cae8
95c6, 1d61
1624, 6702
d3d3, 4f81
7a1a, ffda
0c33, 54ab
9aa0, aa55
f36e, 15a8
c6a1, 7ebc
8589, 4f5f
5123, d4a4
e020, e02a
0505, e56f
0a72, 9943
68be, 448d
66f4, ac90
33e1, b905
e7c8, f080
8b05, 7f7d
50cb, db81
fcf3, ce6e
3eb4, 1d37
3fb6, 3fce
2339, ead3
5341, 3f62
b944, a6e3
2199, 7379
6845, cbdd
2e8a, d9f0
d069, e157
c919, ee81
277c, 1b06
c24c, 438c
ae9e, ce45
48f4, 404f
d030, 419c
8739, 3786
3456, 021a
db6e, b4fe
39ab, 93a1
592c, 6ca6
b194, dbef
14c3, 4ac9
1c69, 6396
6d77, 1dfe
e48f, aafa
e61e, 5d0c
4845, 1dca
59dd, 2918
8793, 1714
d984, b6dc
6cf7, e57f
33f6, fd5c
84ca, 90d1
9773, 3d41
0bb3, 2c2d
581e, 1df9
0dc4, 8063
ac3a, 3dd5
e5a8, 3e3b
5c9b, 6fbb
55c3, 4bc3
1d05, d971
3f27, 8f65
2a2b, e004
37ab, 8158
eb2c, 0227
ac5b, 09c2
f9ed, f61a
6e18, 7f9d
b033, 6469
fd20, 8198
ff56, db59
b2bf, 47c5
5481, f554
4791, dd4c
7ef3, 2bb1
7c44, ade4
e86e, 2b72
7798, 550d
2cdc, 7009
90a1, 8bab
1927, d47c
91d2, 1f21
ddb8, 80b2
26cc, f1d7
4e50, dc3d
8a2c, 3dbb
4e35, 463d
5313, 6233
3eaf, 116c
50ee, 5e6c
2502, b5f6
65c7, 895b
bc58, 698c
1a04, 6d26
794d, 44ca
5b59, 0f13
acd4, 8f8a
afb2, 6170
10be, 1c2f
e514, b281
2ce2, 68ce
fa26, 2547
d20e, 914d
78fa, c77c
d993, 3f02
73b5, 7e6f
8f1c, c12f
220c, 8e38
954b, cbd5
a86b, 605a
ba3e, ac7f
9039, 9036
bf21, bf27
6cee, 8b85
f799, 1b38
9529, adba
b607, 574a
e75c, 4226
ad58, 7dd2
fb22, 73da
fe8a, 8884
f736, cfbc
c4b5, 7a73
c138, edf5
5556, c402
cea9, d504
ba79, 6e26
ade9, d284
408b, 46fa
4e00, f2f2
9280, 6bee
c1e0, 0c90
f464, 7123
aa70, e727
758f, 441f
d517, 5d6d
9af4, 9651
d88d, f814
0924, b8f1
0056, 76c0
ffd6, 825a
5e30, 2c88
e836, b3a7
bc4c, 4fc4
3810, e69c
354f, ec54
cffe, 8244
ea36, e8ce
d3a8, 0783
87f2, 0b63
06e7, 702c
c4db, 2eae
2828, 6743
239d, 80ce
a4f6, 507d
7d38, dda4
95a8, cde1
d0c5, 712b
5e52, 456c
8c7a, 6b9e
ecd3, d80b
74a1, 030b
cbea, 2143
7da4, 2345
6775, f68f
7e42, ffbb
6630, f5ae
de9c, c9ca
3644, 4f22
a4ff, 7137
b6d1, eaf6
57fe, abe8
c6b3, d4c8
89c2, 14c7
f7fe, a57d
8656, 5e08
a302, f8bc
e3b8, 70ed
eff7, 3fcd
194f, 7452
1484, 1480
56d4, 6a50
d918, f06e
69ee, 97ce
3572, 2e73
c997, bcd0
33da, e736
4c2b, ee21
7322, 3d40
ec67, 3c65
195b, 3313
9f37, b7e1
0a6f, 7ba6
1da4, f49e
5ae5, 532d
041c, 500b
1f7a, f465
ee7a, e0f4
ef40, e5c6
5b1e, 7767
ca2e, bfc4
242c, e9d3
d422, 22cf
60ae, 3c85
19ea, 4ad2
ae67, 9666
e0a0, c92f
b4c1, 2a61
e734, 5fd6
5e83, fb3a
b673, ae6f
52fd, 22d2
b12f, 7cb4
8e0d, e551
c033, 6c2c
c544, aa4a
e52a, 13c0
744c, 6c57
e549, 63bb
401a, 7387
ee70, 5130
f226, d0cf
6981, 6b60
58c5, 8702
6169, 94fc
fb8b, 7a6e
b519, 0133
5305, f63d
8508, 5cff
bbd9, c8bf
a009, aaa6
766a, 6003
9eca, 4f72
3957, 0847
87c4, 6056
e357, 31bf
72da, d4cc
0b2a, cc68
258e, dc50
0133, b519
68a9, 53e1
5bad, eb2d
67ef, 2422
b59b, 8ea0
08bf, 576d
ce0d, d821
171b, 1258
e8d2, 5003
c2df, 39f7
ef15, 3637
28a5, bb2a
4682, 377c
c5c5, 8658
98ec, 7dbd
7152, cc57
b98e, b78e
e9ed, 8253
fcab, fcac
a847, 43de
2a76, 9cf1
4ce2, d04a
c2b7, d5bd
f977, ec21
9804, 885e
497c, 2a0d
842d, 6a0b
9045, 058f
5828, 203c
aa66, a91a
0c63, bf39
1abd, 5620
3fd2, fed9
7348, 5150
bd91, e0c0
dd9e, f54f
ecae, 5c56
2a27, 09f0
ed96, ee33
de94, 2ba2
5c6f, 52ee
a360, 253d
66e9, a1e5
a02a, 207b
3e01, 8319
03e3, c3d1
d3b4, e10c
6762, 4c16
6ec0, 6320
77b2, 1308
114c, b3f9
03e8, 8422
9472, bcb2
a852, b9e3
79dd, 8460
2113, 8870
bdd3, 1756
10c5, e665
383c, e3bf
8893, 77c2
41ec, c3e7
0e1e, 565f
30d8, e6f7
8fe0, cf5d
5402, e154
c86e, 4d5a
709d, dc4f
c6e1, 5680
7a89, 4602
2960, bbf3
3eed, 3e4a
b060, 6bb0
2fa3, e96d
91d1, 405c
9ba8, d31c
ddd2, f0c3
2aaa, 2e9d
3583, 4af2
e788, 9ed7
9b13, db9b
09d9, 2fa8
74cd, 92f5
6ca3, 046b
6bc6, 537f
7fdf, 8701
e874, 74d0
7e98, b822
7346, 7ceb
c7f2, 0728
1fd2, 3c17
f081, 5431
94b4, 109d
5f9d, 5c01
5154, d720
30e5, 7c5f
3e8b, 8c0e
a410, 6324
2144, c4a2
6e33, 608d
9e29, 3b26
d748, 6842
f5b1, 27f0
b386, 677e
7d17, f6f6
2240, 481c
0968, 5c6d
00e7, 13c8
98a7, c30f
2f1e, 391c
eabc, aa46
a048, f807
1052, 3eaa
48b3, 038d
7458, 7562
47d5, 5c86
1d83, 326a
aebe, 1b83
6900, a7ad
ae6b, 730e
daf0, 991b
b5e3, bb66
316d, 8c60
d031, e7d3
19d7, 987c
6c8d, ef16
c65b, 78f3
7450, 3a8a
75c7, 95cb
dfab, f221
c614, 4301
35be, 725a
7321, bb09
a4cb, eddf
bc8f, 6f95
8547, a5b6
1818, 103f
9145, 40e6
9c18, ef21
395e, 05d0
369a, 84c4
c6de, af64
fbd2, 649d
7ab5, 02e1
4912, ef2f
c654, 0cb4
f003, bd2e
7133, 83a1
eeb8, 5d33
684f, 94b0
d067, 98b9
b074, 064f
d05f, e953
e87b, f45d
0fac, eba9
8b21, a9ca
f14e, 7adb
a1d8, 39c6
80e4, 16ea
03fc, b0c8
554b, 87d3
5331, 552f
fecc, 8d33
5708, a5eb
95c9, 7254
6594, 58fd
d8f6, 3cbb
9126, 9ebe
282a, 218b
d8f5, ba2a
1c61, f178
7aa8, 8a3c
ace9, cd73
8bfa, f3b5
763b, 6d4d
587a, 92b4
6260, 8d52
73f2, 3f0d
3462, c012
2e95, d02e
fdbb, 3d25
1596, 0b99
6ccd, 6c2d
1237, d303
3136, 8471
0d7e, 7eea
6ce2, 959d
6d36, 2f7d
037f, 2559
4fe1, 2372
915b, a6cf
0180, 1aa0
31a8, 4c0a
b92e, 6a28
f034, e8cc
d817, 774a
1b62, fb62
3a04, 786f
283e, c5eb
0cc2, 00ca
a07f, 6a64
641f, fe22
ad07, c4d0
6463, 8f90
267a, 26aa
e6b2, e6bf
4494, 7930
b232, 32a8
26da, a31d
7db9, 82fc
fef2, a8cc
fcfa, 3da0
423b, 3f01
0c62, 854d
8181, 55d9
d49b, 5ba8
5714, 841d
7b5b, bcf0
1bac, 418d
6045, 47d8
2024, 00b8
208a, ba31
b460, 8d9f
d39f, 5c27
f5f3, f7a6
cb73, 6fc5
ebf8, c4fb
fc52, c3bb
20ac, 89cb
3e17, 8311
2867, 0ba2
ab4f, 3080
ba34, 5d26
7f9b, 2957
148a, ff6c
11cf, ce3a
b713, f6e9
24f2, aa0a
3581, b3ee
64d1, 297d
fdca, 49a0
1e06, 2456
924b, a3cc
a26d, c2b0
f976, f979
c87e, a08e
d7f3, 2ec7
87a3, c126
d080, 25a7
2277, 0bc9
df12, 2045
d47c, 1927
8f4d, 262d
1eed, 1775
c0c8, 7bc4
0a9b, 2730
240c, d948
1ce3, 3a3e
fc54, 1d7b
c60b, 5463
6338, d5ee
b699, fd9e
89ab, f0a9
e09a, e09f
dcc6, 21c9
a3f7, f168
a10c, 2b73
047d, 4291
d89b, 7105
48b4, f756
ecea, b0de
90c3, 233e
759b, fb35
6890, 7acf
0ff6, d033
d102, 7c77
aa82, 494d
49b2, a74d
74f6, 666a
ca45, a575
3d32, f7f4
28ce, c1a6
07f7, 2660
a49a, bc83
7506, a819
09ee, 77e5
487a, 2d30
fa6e, b6a1
fdde, 6aba
9808, bc33
1060, fbb0
58a6, b466
2520, 1d24
0ca9, 90eb
d80b, ecd3
5527, 4b01
e5ff, 5ee0
de76, 2f20
0d46, e8a5
f381, 6400
ca62, 157c
5095, 6f7b
7d2a, 3518
50de, e7b5
4466, fa7c
1ab1, f9fd
fbe9, 5f15
5158, 3947
6953, ad04
938f, c3b7
6697, 5a20
f644, 4173
3965, c7be
6a38, 1aff
2d42, 45ea
1125, 6aef
1619, 3d07
2274, 16fe
cfa0, c63b
29b8, 9f83
aafb, 3b12
f060, 75fa
40ce, 8aad
086c, d4aa
0950, 4749
2ff5, 07cc
8d3c, 91e8
658a, 757f
543d, 22e3
4d5c, c6be
373d, ecbb
1490, f19f
c01c, 3ee6
a52b, 6618
8ded, 5dab
00da, 007d
61bf, 436c
010b, d1dd
349c, ee65
760e, 34fc
3f6e, 79a2
eb46, f0e9
f265, f2a4
7970, 0641
b8d1, cadd
87b1, cb47
c1e9, c3c6
e1ef, 5709
d8fd, 303a
5459, d035
7217, 4ef2
316a, d950
685b, 7c61
4130, 6e70
c25a, 6be2
4060, 9654
e328, 3059
8068, 60c4
9183, 6aa0
6051, 6c2a
8fb9, 574f
8269, 625e
bbc2, d21d
88de, f28e
4873, 6b6c
a5a1, 654d
21ef, 5df3
79d7, e3bd
c836, c6cc
9d9c, 10c2
a281, fb42
1ac7, edb6
adea, a288
794d, 44ca
00b5, 48e7
da97, efb2
7ceb, 7346
813a, a655
b5f0, 7cf4
6eb0, b8c9
e21a, a398
3bb1, d904
18dd, 4cd9
0640, bba9
446d, 9690
f029, 3ec7
33cf, ea84
e75c, 4226
a15a, 1cfa
1ce0, 9e49
1e4a, f39a
12d3, 35e8
0185, 58ca
349f, a835
27f5, eb16
b1dd, 0844
06cf, 9502
e3d7, 108a
09f0, 2a27
ec76, 674f
4cc5, 6ada
0d83, e19f
b01b, b323
39da, ed47
ba9d, 8853
8d74, 799d
9267, dc8c
0698, f165
f52f, 1bcc
4e24, 5ef8
755b, c6d2
a63e, 0dce
17bf, aaf4
1ab9, f8fd
e522, e52f
4583, de0f
d58f, 97c1
a4e6, f34b
1e63, 455b
4084, 8a2e
6552, 1bb6
b96d, f387
215e, 1606
0808, 2035
465a, 39cb
2333, dd53
b090, 5d13
bafb, e142
2017, 08a1
1ab2, 3751
d376, 0bdc
20a6, dcc7
a945, 6152
874d, bc9d
22f4, e292
0ab4, 355c
9571, 332e
a72a, 4e9c
dc4b, 7849
ead4, 8149
f9ae, d95e
143d, a888
253a, c239
583b, 1e32
b65f, 260b
f98d, cb9d
24d7, 2736
4f10, 9687
a3ec, bcf9
210e, 2089
10a8, f5ff
dd02, 8960
11ee, 97d8
5c53, 0726
ef9d, f6cb
e2e0, 1f03
03af, b402
5dcd, b59f
5251, d31a
76e6, adc2
7b18, 3366
6c0a, a763
c0fe, c5e1
8f2b, e0f0
3192, bf75
eca5, 093e
448f, 42b3
a3a5, 9ed5
83d4, ea61
ceef, d5a5
1b22, a3ed
6df8, ff91
64d7, 13e9
7a6e, fb8b
1d0c, 4406
3748, 6923
4241, 735f
8881, 1419
a44b, 4e3c
8d3b, 7b80
9c69, 9ead
b9de, b011
9dc8, 9851
d5ab, f06b
93f3, ccba
73e9, 83e6
9d9c, 10c2
b597, 6d33
b079, 3cdc
1eb0, 9f88
b427, ac81
9ffc, 4815
90d1, 84ca
5216, f660
e7b9, 500a
92cd, 05f8
8784, 433a
8066, 0966
2769, 01b7
5966, b41e
2bb2, 664a
7e04, ea5e
d3d1, 0075
a21a, 0be4
5e15, a339
0f04, 7d72
1bb4, bc60
7627, 0e10
4a22, 8234
0926, 7121
345d, a5e3
7853, a1d6
2559, 037f
ac4e, 30bb
ecaf, 599d
a694, e496
c182, edd7
cbd7, 9189
b608, c564
c891, 2fd5
1d1e, c9e2
fece, 7002
98a7, c30f
485e, 4245
849c, 2401
113c, aba7
1818, 103f
8872, d3bd
615e, 85ca
5ac5, 7b3a
