a56a, d5b2
722f, e6eb
4f67, b110
3f94, 607d
6896, a69d
8c7a, d5d7
fd88, bd59
4132, d161
7902, d188
31d7, 7586
82f6, 864f
a308, ebf2
581b, 8e7d
d8bc, 3c17
3223, 4a9b
05df, 6904
be9c, 211e
c3af, d332
d636, f8da
add6, 05d5
f564, 9d22
d853, cf68
e6db, 89b2
cb6d, 59c3
75bb, 71d1
3a4e, 024d
74a4, fe6d
da05, ee51
12b8, 01a0
45e7, 1251
26c1, 321f
93fb, 6cfb
e3d4, 35f6
3538, 02db
62e2, 9abf
09b8, 78df
9984, c9f3
d89a, dd92
1009, 1c1c
1c69, 21aa
062c, cac1
51b2, 1c38
b225, 3f55
10ef, 0ae3
45bd, 6dc5
8adb, d9f5
90bf, 72ed
e89a, 0dca
f039, 67de
e286, b9a8
556a, 3cd4
c36a, 78b6
aea4, cb82
822e, 38eb
0d65, e9fc
0d8d, 8d71
2f24, cdcf
dbff, 4269
1eb4, 7ae8
7903, 9259
f2b4, fa5f
57eb, 74b8
b38c, 3ede
fdc2, 4824
2130, cbfc
c1b8, 53bf
407c, 1a1f
964b, 9d00
557d, f33b
848f, 0531
18ca, 46ea
05c2, 3c27
eb3e, 5307
3806, 81eb
6c87, 6538
59a8, 1ca0
e108, 81cc
fd0f, 791e
9508, 2c48
7448, 54c8
ed81, 308a
17e1, 7910
21b7, 9c32
4903, c034
a7ff, 52bc
6ba9, 2964
c11f, a484
a528, 472e
3ec0, 0898
1fdc, 3156
545f, 02b2
dbf3, 72ca
d58f, 2a89
6fdd, 3fad
2490, 4a0e
02f2, 6406
0aaa, f517
bae2, bce6
4c1d, a05c
8c6d, 906a
84d8, 280c
fed8, 9db4
b048, 1c93
3c1f, 3d4b
2b57, aee7
2280, 701e
2526, e4f9
d779, 667d
45c3, 3db3
49b3, db11
dbda, 208f
5687, 3b3a
8f26, bf29
6d63, 89b6
a95b, d6d2
ac62, cda3
277c, adf4
dc44, 459a
4bfb, 9724
9402, aa07
5ca9, 025b
fbb0, 7344
75f2, 0457
df6a, 7ebe
06ae, cf87
e244, 46f2
5040, 8d40
117e, 6b1e
c6c2, d8ca
9d14, d257
eadf, aa1a
a0c8, ca7f
19ab, 35ae
c92e, 1d86
2a4d, 8fa5
d14b, c79b
2309, 50de
b864, f411
0c2b, 51c5
eed0, 00d3
8cb6, 1f9a
5a59, 2ac7
3a99, 8c96
7a8e, 22f1
ea17, 2aa7
f722, b762
28ee, bae8
dc91, df7b
ea5f, 0761
b251, 0a62
1433, ca5c
01f1, 42bb
75f1, 7e5f
258c, 4180
df3c, 28ec
a88e, fab8
557d, f33b
6116, 22a1
377d, b118
b665, 529d
cee5, d3b5
217e, 0d3d
26dd, 906d
df57, 5930
8f9e, 3f03
af54, d86f
b680, 3748
96f3, 2d40
51ac, 20d7
4626, e388
2f81, 843a
61e9, f3dd
7448, 54c8
129d, 9590
52a9, 0415
852a, 9edb
be70, 1a01
70ea, b684
c456, a697
30ea, 26f3
e778, ff21
f84b, 3afd
7fd6, 07b8
44fc, 2c2b
8f28, 49d3
6867, b8d4
6b86, a192
5620, 9c43
5a50, 02e3
ccea, 222c
8f74, 3fc1
bbaf, d8ac
e9c7, 5411
6ca1, 1c77
6a69, 5c2b
9bc2, ee3e
e96b, 39ac
37ed, 8cdb
6540, 96b5
fa96, 64aa
32a0, 9013
8555, cc97
f6d4, ef3c
f5f4, 2209
3fad, 6fdd
0352, 0af1
e635, 9684
bf5a, a3ed
f70d, 41fd
efd8, 789d
5eec, 7b5e
ef69, 6d18
7f6b, ea2e
256a, 45e6
f79b, 93b9
30e6, 8d5f
e9c6, 49d9
7169, 3c7d
2e48, e6a9
8f23, 4730
e36d, 77e2
eae4, 5c45
4ddc, 90dd
c0bc, dbb5
3352, e85f
6fa3, 1f13
ded7, 0d30
5f3c, aa71
14d1, 3157
6614, b19d
c471, c7c7
15b0, 3463
a404, c4d1
4b14, 9b02
3bef, e63f
5ae9, 2114
2828, 6748
327e, f304
d309, 1ce5
75db, 3975
0f10, 8f05
19d4, 1c3f
e7ad, 8d69
d7f4, bf62
5ff4, 01ae
6788, 743e
a981, 2b7d
1754, e11c
3e92, be92
aae2, 7cf8
6583, 1d8f
2f18, 02f8
69bc, 77dc
fb74, 4b12
b50b, fa20
c31b, 5c07
ebb1, 3061
db78, 14dd
7263, 57ec
c532, 048a
77d0, 02bc
e4ce, 14df
7458, 5ae0
e9b8, 11a7
d47b, 7d7e
4d74, 34f4
61bd, f354
94d1, d36c
f325, efee
9d43, 9271
e648, 8093
676d, 74bd
fa46, b58f
edc9, 5b12
72a1, 11f6
75c0, e528
798e, 498e
c572, a4a7
357c, faef
191d, db3f
6181, b533
992a, 1e1b
6d9b, bdfd
7b9a, ed75
af0a, a28d
0cb1, e1b6
b49f, 1938
939e, f4bc
5ecb, 8e1b
9e21, 1026
4326, 4b27
290a, 6862
3f5d, 6afb
e868, e660
c484, 6294
80ea, d6fd
e929, 1989
2c22, 5cc2
80d8, 1fe6
91ad, dd17
8aa7, 8a5f
6a68, abb2
cf37, 5ddc
822a, 88d7
94ba, c0b5
d11d, 2108
aaf6, 9c17
b168, 8376
0af2, cc52
bdc7, 6ddd
9f7a, f5a3
5229, 225c
8719, 97a9
02df, c475
fc79, dd7b
c826, 5fbe
82db, e2a0
8ba6, 5069
d25f, 7ba3
6c6f, b7fc
2d82, 4705
c064, c816
41b9, f167
6257, 056f
ccf0, d7f0
ffc3, bd64
f18d, b54a
9555, 7104
b859, 381d
b780, cf81
e72b, 5ae4
9cf4, 2a01
b37c, 61eb
d689, 3736
307e, 0604
fbc4, 7eae
bba0, e1ce
a95e, 97dc
1ea9, 9e54
3fd7, 32ca
7e0e, f73e
999b, 4a1c
cc13, 92ea
7860, 7868
0c9b, 138a
39d4, 61af
910b, 6e0b
3a19, 862f
39c9, d7a6
640d, 18fd
0562, 6251
9982, ecaf
3bd9, eb69
ede1, 80e7
f861, 4b3f
8365, c824
94bf, 4e72
ee3f, 5758
b3ff, 2b2e
0a91, b40f
a273, ced6
256b, 374a
a13e, 0e16
a717, 08d4
143a, 6297
bbe0, 3063
9367, 9eb9
5573, 70c0
5c68, 2485
661a, bdd0
bf95, 63ef
b0f8, e1a0
a95c, 13f7
11a9, cda8
2709, 4749
445f, 85bf
3e05, e735
edfe, 6b34
1c54, ad91
d577, 91ca
bb6d, 3e5d
36bd, 39b9
ef1d, 8f7c
62b3, e9e2
e0ed, 76ba
851e, b57c
c1c2, 5764
8498, 90a3
054a, c130
f770, aeaa
eac0, b59e
5c31, da8a
1c9b, cc4c
29af, 2b74
6db7, 9f23
ec5a, a99a
0b5b, ddbf
2385, 63b6
42e6, ec18
4794, b154
6070, a57b
af13, 79e0
741d, 5a51
f003, bcf5
450a, 254a
9636, f7c5
4b53, 8db4
4a20, de3d
9dd3, ecc3
c899, 246e
3b89, eb89
5184, 6957
4818, 8674
6c45, 7970
42eb, d9d3
20b7, 2f5a
73ed, 0dba
859c, b24b
74f8, 481e
d290, 450e
e7e1, 9f57
3f93, fa4a
8bff, 56f6
c2f7, 5587
3794, d25c
bbbc, af2a
5c6d, 0534
2713, d868
86e7, 0921
afb7, 73b6
fe60, afab
c4d4, ba9f
e926, df11
9748, 191b
3ff0, 44f0
57ca, 3224
60b9, ecc1
d554, 692c
5c32, e1aa
4cf6, 1924
52f5, babe
28d4, 6ade
db3f, 191d
90d1, 4e5a
6750, 39b3
b8da, 6fb1
cd6c, 0b7d
8574, e171
6cde, 93d7
3005, 704c
cdb5, 6c16
01e8, 7fa9
395f, f9cf
a6c1, 08b5
2adc, f181
0c30, 755b
b408, 3408
0c88, 6698
1ac1, 9e73
a2fe, 8279
0499, ba04
7daa, c6ad
8006, e049
f693, a830
67e2, 7f8e
e05f, e652
f223, 646f
ec49, 5867
d5bb, 379a
80d2, 91d8
c5fc, cb50
c964, 7a02
9d31, ff87
7037, 6051
f659, 0151
afb8, df53
70db, c553
9a76, 2512
c22c, 00f3
de86, 9905
1b5b, 9eeb
72a5, 8786
3cbd, 90e2
4fc1, 2bff
42df, d780
af03, 1ffe
da88, 9a3e
ef90, 38fc
f244, 075a
f34e, ce05
f246, 8aeb
c9bf, 073d
e645, e6fe
05d0, fef1
e640, d1be
184d, e14d
80e6, 8de2
04ef, b38d
d6a1, fd8f
ec1d, c5ef
7a1e, fb78
a33a, 8cb9
44ff, c501
8e45, 72d0
8d59, 3d82
1b55, 6464
e60f, 86f9
7829, a62c
4fd5, f885
931f, 1eff
690c, b1d6
98b2, 1852
f8fa, 7655
8831, 9a03
3b9e, ebfe
37b9, 1acc
0d50, ed63
2737, 44a3
2fb9, c322
56d1, 5daa
5f89, 2299
ce68, 5251
843f, 878d
489a, d957
3e16, be07
2cc2, 54f6
a42c, 7d45
7b4b, 30fe
fd29, 48c7
239d, 7b5d
e8cc, 24ac
9e7f, 1e5e
09a4, 713f
fec0, 4ec0
0892, 5d4f
684a, bf90
a840, 26c0
e8fe, 2902
4311, c8f2
c976, 5936
53e6, 8895
6733, a39e
794d, 1f90
5919, c989
92f3, 6f25
0e37, 26eb
570b, a5bc
5ef8, e89e
c87b, 1e1d
b78c, 4b81
d83d, 3800
51ca, 2cb4
4c2e, 3835
708f, afbc
5354, 5f0c
5737, d7f7
d618, 4675
121b, 1415
885e, b4c5
fe1a, 9654
bd00, 0b90
85d8, 0d01
30ba, 2bb0
dadb, 2d77
6e05, a433
ae04, 2bf4
7279, 0b42
0716, 5d21
e26c, a2ac
3e2d, 0f98
adce, e4cb
f020, b120
94f0, d990
4528, 86b3
485a, ba37
6f6e, 5448
8111, 2fbb
c348, 5db6
1ddd, cfe1
d220, 22c3
b9fd, 8c00
1cd8, 7013
fbd5, 25a4
3de1, 5197
7d21, edb5
721c, 31fe
293a, 4dc7
f363, b362
9ad2, ff1a
dee2, e2e6
7ab4, 4fb9
b2c9, c010
0637, 06e7
3e6e, 3bbc
e816, 7885
0191, 6cf7
fc1f, 52d1
daae, 1242
fa69, 44b7
bb65, 336b
8f82, a19a
30f6, eb46
f65c, 1de0
67fe, af89
a349, 1945
181d, cf2d
9c2a, da71
c497, c6f8
95fd, 7360
bbf3, 54e7
5dba, 86a1
a6df, 6ad5
a793, ca84
297c, 49a5
b3b5, fb49
60b5, 8ebc
f9e8, cc3b
5700, ae12
9f2a, 1d2f
cc8e, 5e07
2b78, 037a
6a0e, 0984
2cd7, fc62
a2f5, 34f7
6cec, 637b
2e0e, d1a3
5f91, 2f2e
66d4, 7abc
e29d, 3865
78df, 09b8
fb76, ccbe
9cc4, da11
d906, 4949
4a46, 95ff
6385, 4e6a
3b0d, edfb
c64a, 1399
293b, 9c60
f3ab, ec36
e69e, 5003
b630, 3dd3
3c67, f3d0
db63, bfc2
702d, 0570
50c6, 80f1
f862, 07df
ece7, e92c
e156, 046a
ab9d, eda9
8cd6, ac21
0587, 3232
e18d, 4848
2f67, d601
f4a1, 3761
5616, 8b1f
7785, 4785
158c, 21ee
25cd, da93
fd64, 4db2
bc84, 82e6
4e0e, 8e0f
d910, 4314
dec5, 2d31
adef, cfba
d80f, fa8e
7824, 7644
3506, 3c02
c472, 04b5
d4df, 521f
1469, ebad
d215, 8407
d9b3, 3719
d9fd, 988b
59c6, df16
62c2, fa2a
bcd4, 6333
9a5a, f2e4
0bd4, 1d2d
519c, e46a
7984, a8ed
da54, 8145
d1c7, ca92
4308, 0f71
23de, d5db
b4b7, 6a59
dc86, 9a82
9f82, c637
f119, dd7c
f0fe, 84da
7532, ab53
d119, 4253
8401, d21c
d2fd, 411b
a0f8, 091c
4159, 2464
bd10, 7276
56ce, 5022
8505, d650
85a2, b25b
9285, 5c8b
d5df, e3b0
13ab, 776a
a07d, 091f
90a5, 60a1
0fa3, aa7d
1628, e92d
705c, 26b2
0121, a3e4
1cf2, 69d1
20fb, 0977
6947, 9b2c
4816, fcce
bd55, 5298
14cb, fa4e
880a, 13c8
31ed, 5568
58c0, 6345
d4dd, 94ab
fa21, 4373
affc, fb1e
500b, 3b2e
db19, 8021
8aa5, f9ac
bc49, 134c
b88d, 6897
4739, 5968
6d0e, c473
4feb, f590
6a14, f583
ccfe, 0b05
c3df, de8f
c094, c4f5
8a11, 0d62
0cc9, 66d9
5a6f, ffe7
00c8, 5204
4e27, fbc9
76ea, 6bea
7038, 711d
2a09, a4ca
aa2e, d7e4
0b79, 5eab
9ce1, b9cb
6b95, c77c
623d, 3c62
505e, a067
a792, e409
fe39, 8bae
3ad4, 4ac7
f126, 62f7
10e4, 9b89
927d, 2324
d2e1, 98f4
4966, 19e9
9b09, 91ab
56d6, ce48
0f97, 99e2
7803, 1c8c
08ab, 0d09
2c1f, eaec
d99d, 285c
0104, 4ae5
255b, 0f27
acdb, 0035
134f, 9cbc
6dc2, 7bb8
328a, 2dd7
37ce, b74e
93f3, 34ad
fd7a, 1962
cc14, b2cf
abec, 49fd
0906, b999
a05a, 9208
6f4a, 50e0
704e, cb87
7045, 2386
01c1, 91a6
180c, 0e51
0a35, 69d9
95be, 529f
e96f, c5a7
ad4f, c6c4
edd7, e6d4
e13e, 31ee
d654, cdba
71bd, cb64
b597, 9533
fe30, 908d
ff1d, a82d
5f30, c570
cf6c, 0656
9a91, 222a
e2a2, 9276
2648, 182c
e3dc, b026
f5fa, d209
794a, a678
8b99, 2258
b680, 3748
3c34, b73a
2d06, 83b9
79d6, f726
2e71, f165
e1ef, d57a
8775, a6d9
4cc4, 2a71
3cd9, fc17
12f8, 5fbf
57d7, a17f
d0f7, 19eb
b53c, 5583
b6b4, 1620
ff90, af8d
848e, bf1b
b9c2, faa0
1c27, d6e7
4ff5, 85e0
4ff7, fc25
05aa, a574
f689, f366
d20a, 7605
be3d, 3973
fb04, 4ef4
f184, 1f58
3b7f, 1792
eb14, d569
fac4, bac4
78c1, 9a30
48fb, 7afd
cac0, f3e1
dfa8, 3fa6
cfd6, 5431
0326, e4b8
5e49, 6377
3535, 6ceb
467d, fbc3
7a2d, 5ac8
aae0, 4ce8
3e0c, 917b
857d, 61c3
891e, d3c5
f112, 54d7
a69a, fe46
2066, 7b5b
746e, d859
957c, 994b
001a, 56b5
6bac, 7a68
33f4, b56c
de1f, c3ff
1663, 4fbd
d20f, b2bd
5f22, 0fc2
b5f4, 7246
2f28, 37c3
bd22, eebd
51fe, db70
9b73, b438
be69, cede
c121, bcd1
7981, c8eb
2f40, 86d3
8088, 9d51
3309, 6785
9111, aa09
a668, 98bc
4919, 89a6
2f29, 9f04
bfab, f57b
9b23, d623
3b99, 6e46
a580, be05
aca4, 5b38
c257, 7491
264a, a84a
4b03, 2727
4fb9, 7ab4
014e, 697d
a6bb, 7b10
a904, d584
5ecc, 331b
eca7, 516a
b402, 0a97
cba8, 95d7
ad75, fc16
7364, 68d1
da5d, 91ed
89cb, 17b7
32cc, b5ce
d955, ed40
29f2, 3253
caaa, 6517
16e3, 85a7
92e4, 2778
b79b, f461
fec0, 4ec0
498b, c17e
71ff, ac89
b0b9, 51c1
689e, 733f
845c, 67a3
8c62, 183f
4929, dfb7
64b9, 9b32
b0b2, 1dd3
f45e, 1488
f28b, c80a
9154, 777b
0e81, 265c
cda3, ac62
0453, 55e0
fbd3, 43d0
1228, 4885
1933, 7339
9d91, 7ea0
98eb, 9a98
6964, 3c89
b9e8, 3e06
f216, d3e2
ec73, 94e6
87f8, 62e6
cc9b, fc4b
68cb, b81d
1600, 9d13
3ce9, f8dc
f4b2, 18c4
dc22, e516
18de, 985a
66b5, 88bc
f50a, d4f6
31ac, 895d
e90d, a002
d70a, b3d2
2911, 6911
bfc8, d3e3
7f4d, 0680
d639, ba84
0481, a2f1
4616, f836
8952, a2c2
d524, ac46
c9d4, 11e9
49d8, e313
83d8, 54b2
54b1, 0404
aa15, 0615
8dfe, b04c
4c0a, d5f7
eab1, 2521
b7fb, f5c9
935e, 1e65
c170, 9b6e
c51b, 006d
ef2e, 8eb2
91aa, 9c82
4aa4, 81ca
286a, 7eb5
ddfa, a480
80ee, 8eec
c3b0, 04aa
5979, c939
fd26, 1ce7
8fb5, e44d
9d4e, df2d
bec6, ca60
2388, 6aea
d15a, e50d
d2c5, 2ff7
e905, 7696
fdda, efa5
8f9a, b6cc
8195, d5e4
0346, e460
a691, f8ff
67a0, 99f9
2c8e, c4e8
d532, da36
9198, 3bcd
2443, 4f36
72a5, 8786
bb35, 833b
96d9, 9679
86b1, 4683
4522, 25a5
3942, eb0a
47d5, 271c
b970, bcf8
cc5e, 28d2
4401, db5f
67a8, 04a6
10a1, 3ed5
193e, 0ff3
cf38, 5fa2
f191, ccf7
fb36, 9381
8b4f, e62f
00a2, 11d9
7031, b0e7
2820, 9d9e
6a29, 94d4
1cdf, fad9
9abe, 4aa8
b99b, 0103
91fd, 170d
ae8f, e9d2
9c70, 485d
1ca4, 68ed
e469, aad1
6630, 1670
eb20, e857
d313, 077f
2494, 87e4
2611, 41d0
b9d7, fcff
1200, e060
878d, 843f
8346, f7bb
2f0c, 7d09
fdeb, 1ded
a215, 04d2
f679, 4415
ee4a, 7be0
a970, f8ba
8b28, 5fff
b53d, 655c
5bd5, d306
a843, f343
0381, af5c
eaa9, 050c
f461, b79b
ace4, c245
a867, 7a5e
2f62, cf5a
67cc, 4151
9cf5, ca00
265a, a6ba
524e, 2569
9929, cb9f
8a36, afbd
989e, b814
383d, 1d70
fba0, 1074
3724, e1f9
946b, 44dd
72f2, b206
1588, d3fb
3c45, 2ae4
a741, c0c5
a279, c636
bf76, 062d
ae76, 115e
28a2, c67a
dbe8, d085
9a1e, 8f3e
605c, 9bc9
0b7f, ac83
6227, 559a
d180, 25ec
c4cf, 375f
f7d8, 775f
14cb, fa4e
057a, 5e2f
7c3a, 9338
4ac5, bfe8
d7a5, 2cdc
c030, 1b80
aca1, 7c17
86e1, e147
68a3, c8c8
0eb4, 6fa7
17b3, e071
3773, 4f69
c967, 32a7
0dc4, e894
460a, 565e
6afd, bfad
8434, 04a9
dfd8, 8fa6
a5ca, 1f84
35f4, 3a91
312a, 953f
03fc, 01ac
7067, 40ae
01d5, 5872
a035, 0a8f
b973, 18e9
6854, aeed
b9f6, 97d0
5dbe, 0b14
2385, 63b6
5f42, be24
7140, 4dd3
141f, 2636
7371, 3346
d346, 4da6
87f1, 1181
d0ca, f518
1be7, 420e
23cb, 9000
4787, 5797
a8d8, 2e5a
ad16, c5d5
fb46, 335c
b28b, d684
b99e, 39c5
d728, 38c8
acd7, bcc1
5356, 3f4e
9f2a, 1d2f
6680, b403
d6d6, 2e4b
d3c7, 2e26
3b00, ec26
97c1, eb84
ce05, f34e
0b1c, 2c0c
d604, 7f83
3799, 00f4
1ed5, e45c
c9af, a374
4d8f, 8ad0
1036, 69d5
7dfb, 6084
3462, 6663
f599, ba3f
eac7, 7c76
d438, 55a3
896e, 1adb
8e70, 0afa
422f, b22f
a1c9, c095
88c3, 4980
0ae6, a546
2d17, d954
51af, 42e2
ed30, 4079
c529, 2d7d
c719, 77a9
69e0, 3763
f257, 4a51
6612, 9e40
f3ee, 4014
b376, 9e64
0eb7, 4a9f
c3b2, c2ce
4cd8, 5db2
6bec, 9029
c87c, f31d
f9e7, ec08
2209, f5f4
54d1, ca16
599a, daab
bb20, 7ca5
9803, 1803
d965, 3e25
bbf6, bedc
11e1, 4f26
30d9, 5b66
73cb, 5893
6321, 2453
1b3c, dc43
875d, 8cac
60e1, 7b81
390e, 0609
ab55, 3ab4
3ca6, fc71
c60f, a2d3
a2fc, 19d6
ccd4, 703d
d905, 288f
13ee, 9014
6875, 89ec
c284, 01d6
cc7d, 9bbe
f16d, f1e3
4d1d, 1023
65a4, 521e
a848, fe98
1f47, a46f
4076, c339
5284, 7645
9b28, ddc8
13cc, cf2c
a8f2, d91c
d92c, c125
a854, 28bf
e12a, d1ef
acc7, 8ca9
8be3, 6b2a
8930, 64b5
ba87, c713
69af, 13a4
9b6c, 466d
3ca0, 62df
d514, e1ba
914c, 1ccb
0e7e, 2d8f
f243, 4423
4106, f7ca
a979, 09a6
93e6, d99e
0d58, ef50
431c, 4cf7
b82a, 032a
65d1, 8ad6
8a8d, 9ac9
9c67, 9561
9bec, 321b
a3c6, a440
f66d, 8f58
35a4, 4a7a
0c0e, f9e4
ab6f, 09c9
42fc, 212b
fd15, 6f87
65f3, 31c0
e024, 1060
d282, b219
de39, 970e
d512, 4576
217b, eb1b
15ab, 84de
1fde, fd5f
d3f4, d4e4
8826, 3fd3
ee9f, e615
a039, 6c55
1974, d196
179d, ef12
964e, 2fc0
3d70, 2f3d
5153, 7f2c
a35f, 2679
7f0e, 6303
8fc8, a998
5091, 0399
d1ac, 29d5
e07f, 8992
4773, f531
8c1b, 65df
a67d, 0160
4cea, 14d4
f0e9, fe61
1189, f830
f7ec, a3f1
8f75, 27b5
6d86, 9c27
15fd, 8f37
c125, d92c
3eeb, 305e
60e3, 3e50
ba35, 2882
c781, 5c1b
4e79, 2478
9e12, 42bf
71ee, 9e36
3ad9, baa7
5a29, d84e
13cd, 9320
870d, 6033
5c0a, e597
a657, e93d
97c4, 1e1c
d248, 1d31
bb36, 2124
6831, 1615
194d, f316
a2f6, d805
81a5, b0f1
eee4, 561c
2193, 108b
a7f0, 01a4
3df3, e093
60dd, 04e2
b7af, 4e32
78b2, 4ee8
3634, 9f1c
10a2, 93aa
6769, 87e9
f494, 77e4
9092, 475d
dcaa, 1169
6d93, ecd0
41c4, d571
95ad, fc54
d503, 3390
ed0a, 8d79
c0de, 4ca1
d92b, acc5
3107, d107
c816, c064
0ed3, 1769
07a5, 7538
36aa, 9633
24e3, bec7
9b5d, 7410
7b9b, 8b05
d12a, b036
9ddb, 40d0
55ef, 7967
4658, d660
aee4, 645d
150e, 4f81
ea59, dac7
c096, c12c
572f, d4ae
216b, 4b17
4eb1, 43b9
2ddf, 2f02
a601, c24e
327e, f304
043d, 2d34
02aa, aedc
aa6f, 2132
230d, b5c1
5569, 25d9
cd86, 46aa
64f8, 3683
5e27, 79ee
97a5, a17e
71b1, 5cb6
a07f, 9957
52ca, e549
a29a, 202b
2d3c, 6e3a
a717, 08d4
6acc, bd5b
f655, 1f6b
a41a, 636a
b6ce, 1f38
4ad9, faa7
41ce, 3dae
1981, 074d
9866, 05ba
3649, df93
a016, f1b5
5737, d7f7
fa9c, 1a90
3c7f, 8d94
1a85, c6ff
0f09, 55de
3f17, 587a
508e, ccac
d6bd, 9653
6be6, 9517
1366, a9cb
65c9, 1aaf
c0b8, 0b6f
f0c8, 4d10
045f, b033
6758, 8ef6
6caa, 3b88
dfa5, 27bf
801f, 9075
5c66, 7c67
799e, 10aa
d7cd, 7bc8
c077, 03de
4756, c002
e4db, 37ad
352f, 555c
56b2, f9dd
526a, e14c
7d45, a42c
7a66, feed
987c, d974
3c09, 58da
8958, 6c8c
82a0, 0f17
09d1, b08f
9833, d20e
42d5, e32e
4dd2, b282
af5d, 773a
067a, c23d
afcb, 8c91
2936, c4b5
6b12, ead9
8847, 8a73
e858, 0858
56bb, c841
d3d0, a1b6
f8f1, 3fa5
46db, 4bdd
3841, b6c1
6045, c91c
29cf, 50ca
ffe9, 8333
fe26, 13c7
5339, 8e56
35f7, d2c7
32c6, e7fa
5ba2, ed4b
f3d2, e7e9
48ae, f88e
94af, d73d
1b74, 10a0
3899, 169c
cffd, c291
d9f0, 488b
3bc9, 6e21
19df, 68b8
0edb, 434f
bc99, 1b2e
31df, 6c0d
c4e3, 2c85
98c3, 70da
3d99, ff95
3963, 695d
ecb7, b182
615d, 873e
d2ee, e626
89ea, 244a
8e02, fbf0
5034, 9c91
3f52, 5e48
3048, 5d93
7072, ef6b
f064, 33de
d5bd, f04a
2e10, df2c
1c71, 8ca6
2f9b, 7d5b
acd0, 5e0a
ed03, 0d9d
3ef0, e300
ec7c, f954
2989, c5ee
be57, f80b
e2f7, 24ce
521d, 2b8c
a4d2, 6479
d052, 7ae7
90e6, 4bb1
bd3b, d1ce
5a55, 7320
85b2, 4cdf
5c6c, 13b2
5953, e382
997e, 28fa
b497, f484
2915, f1c3
d291, d40e
c63c, adec
76d3, d8d2
a944, 795a
0440, 3545
442c, 9fb5
29de, 2cac
c52f, ab4e
2157, 8157
af99, d9a8
67fd, 7c25
c399, f2fe
bab6, eccc
1de3, 6589
e79c, 1baf
c30c, c64e
bf32, 094f
3458, 27ff
fcc3, 8323
2da7, f412
bf04, 6f30
b363, 3eb3
db75, 90ce
5799, 87f9
6a05, 7784
dc20, 4e3c
e561, d527
1510, 01d7
a999, f906
f840, cf80
823d, 9f3a
d6d6, 2e4b
2051, a357
a812, 6cbe
56a5, cd1c
7c32, 09aa
88c3, 4980
30f3, bde4
cadd, cf04
4176, 2cc9
32ab, e4a0
aee2, 84b8
fd8f, d6a1
9310, d81c
91d9, d51e
d2e4, 2b7a
4e7d, d9c1
565e, 460a
9c51, 319e
967c, 6f31
237f, a302
af0f, f743
5239, 6584
c8f4, 76d0
5193, 9dc0
af1d, 3b5a
bf61, bfd4
6474, 4b9c
21aa, 1c69
7304, e65b
a11b, 634b
d74b, 2c4e
7cfd, 4a66
f2b6, 50d0
0b5f, da14
3f6f, 8704
35fc, d65d
f08c, c190
b7e7, a38d
ac23, d28a
f798, adfa
cabe, adc9
85c0, 8548
cf92, f047
7601, 35d8
9439, 14d9
2a4f, 9102
6c95, cc32
b163, 3316
d498, 1d81
f196, bd36
2435, e5be
f780, b250
710c, 187a
6cbf, 643a
7b0d, 0d4b
7bd6, 66d2
23cf, efd9
ff95, 3d99
ac66, d3ad
8c78, 698f
0687, 0657
6df2, 4f0d
e204, e323
15c3, 92a9
a7f8, 493a
71b4, 735d
eacd, 6a45
daab, 599a
2737, 44a3
83d1, ea0f
e335, 9b2f
f703, 189f
fbe0, 3eea
361b, 974d
181d, cf2d
b9ad, f1f4
28db, 6bd2
87d2, b0a8
61bb, a1bb
0494, 1b9e
af1c, c3cc
4713, f9f3
b91e, a3c5
44cf, b77f
b8ae, b8ac
9af3, dc93
91b2, 0a24
53a2, 3912
09cb, 57b1
54bd, 7349
e3b3, a5a4
dd6e, 51c8
0bc5, 977c
91f3, dc03
5a6d, 4bb4
77b3, 0fd9
e62d, 4c48
c4a9, 7ab1
f26d, e40f
b672, 66a3
7b21, 5263
8a7f, a64b
a374, c9af
39c4, 5cf9
a74a, e1ea
c5f0, 9105
6b6f, fda8
3a07, d221
8103, 0951
7d8d, 2ea1
83be, a8c4
bfae, 1d06
3cc1, 7a2f
c2b1, 077c
4843, 8dfd
3136, 02d1
d6c0, c840
5203, 00cd
1079, d87f
7d68, 58bd
917b, 3e0c
6111, 0ffb
85f4, 8591
8680, df4d
ba93, ac59
6326, a56d
110d, 4e30
d971, b971
cf6d, 8536
7b1d, 2d65
cfa1, c276
9ad8, 4a6e
70fa, 8999
7705, 4ec5
b702, 24db
ebce, c96b
2d6a, 26e2
4f8a, 8787
7bb9, 6a19
0f77, 54dc
7a87, cfd1
7562, b451
7f94, 805d
8330, e4bf
7d08, 04d3
542b, cb18
e5a6, 04f5
3212, ad97
698e, 3079
177b, e93c
090c, a186
7827, e172
7d25, e74a
172c, fc45
a189, 0cf2
9ba4, 3251
ec40, ea84
2ce6, 4ebb
ecec, 318c
7a07, 035f
61e8, 1b52
feeb, 203d
4e60, 6db9
507c, 2c05
b793, d8c3
53f8, a504
83af, 342f
013a, 4fe3
4935, 7935
1546, b2da
4ca7, 311a
d5cc, 2a1c
42bb, 01f1
155b, 710a
7c54, a9cd
9e2c, 2b08
91d9, d51e
9b2c, 6947
c52e, d671
80f2, a242
958c, da80
1c43, 0d43
aa70, 6606
d15a, e50d
40cc, 0294
9800, 6f1f
d306, 5bd5
f9a8, 3268
7ff2, 8bc3
83b5, 8bbb
c96f, 596f
3f9f, 9a2f
2161, ded0
